"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000282220",0,NA,NA,NA,NA,NA
"ENSG00000282221",0,NA,NA,NA,NA,NA
"ENSG00000282226",0,NA,NA,NA,NA,NA
"ENSG00000282229",0,NA,NA,NA,NA,NA
"ENSG00000086015",768.592050794799,0.166011218078193,0.210164858683919,0.789909498275678,0.429580623907783,0.877218016088086
"ENSG00000250337",34.5121983164646,0.0588322238983133,0.510785769551029,0.115179841345278,0.908302576601225,0.989003030273427
"ENSG00000169740",16.0128208391156,-0.116400191882229,0.726395960149937,-0.160243446092682,0.87268930652655,NA
"ENSG00000169744",0,NA,NA,NA,NA,NA
"ENSG00000215866",2.98137002247006,1.8539128929051,1.66851565237359,1.11111507420849,0.266518820151411,NA
"ENSG00000261604",0,NA,NA,NA,NA,NA
"ENSG00000261602",0,NA,NA,NA,NA,NA
"ENSG00000261600",0,NA,NA,NA,NA,NA
"ENSG00000266469",1.21793209527625,-0.152976925987232,2.41044865705672,-0.063464088122924,0.94939695509953,NA
"ENSG00000168298",658.778681971826,0.0795978108792808,0.591047474224939,0.134672449084839,0.892870857156655,0.9877015267939
"ENSG00000168297",152.261231891857,-0.134468819082653,0.283951521771302,-0.473562593515367,0.635811855446291,0.942461233496297
"ENSG00000266460",0,NA,NA,NA,NA,NA
"ENSG00000266466",0,NA,NA,NA,NA,NA
"ENSG00000168291",229.859328818678,-0.698081668315394,0.260267113252336,-2.68217393888941,0.00731454173332125,0.190742912956732
"ENSG00000262558",0,NA,NA,NA,NA,NA
"ENSG00000254141",0,NA,NA,NA,NA,NA
"ENSG00000225102",0,NA,NA,NA,NA,NA
"ENSG00000225105",0,NA,NA,NA,NA,NA
"ENSG00000225106",0,NA,NA,NA,NA,NA
"ENSG00000225107",0,NA,NA,NA,NA,NA
"ENSG00000226455",0,NA,NA,NA,NA,NA
"ENSG00000226454",0,NA,NA,NA,NA,NA
"ENSG00000149792",21.1099666076103,0.424363037062849,0.625275870192558,0.678681294597476,0.497339820706488,0.904037815136861
"ENSG00000229797",0,NA,NA,NA,NA,NA
"ENSG00000149798",20.9173255452923,0.159603550270657,0.633413478680695,0.251973719604274,0.801061377250982,NA
"ENSG00000283573",0,NA,NA,NA,NA,NA
"ENSG00000283579",0,NA,NA,NA,NA,NA
"ENSG00000168487",197.554302211972,-0.284793419219328,0.26605364880852,-1.07043605864731,0.284423075839207,0.806555650889779
"ENSG00000250564",0,NA,NA,NA,NA,NA
"ENSG00000250565",11.0107857583019,-0.0309005510616225,0.842704727103497,-0.0366683015625561,0.97074948332615,NA
"ENSG00000187961",170.160366452274,-0.407910789436676,0.319482717815005,-1.27678514890084,0.201678110069364,0.742462831931573
"ENSG00000125409",8.68000111730323,-1.00636100247352,0.968042037384805,-1.03958398872041,0.298533218821469,NA
"ENSG00000187969",0.212051276151221,-1.01050203540902,4.99670329800888,-0.202233747961719,0.839733991106442,NA
"ENSG00000281591",0,NA,NA,NA,NA,NA
"ENSG00000281590",0,NA,NA,NA,NA,NA
"ENSG00000162849",67.3993485270431,0.417065263755352,0.399635542218677,1.04361404253463,0.296663993311237,0.810541925306243
"ENSG00000286060",0,NA,NA,NA,NA,NA
"ENSG00000286061",0.212051276151221,-1.01050203540902,4.99670329800888,-0.202233747961719,0.839733991106442,NA
"ENSG00000283689",1.16414966586676,-1.55356997180049,2.71412684586596,-0.572401387270024,0.567050076231133,NA
"ENSG00000286063",0,NA,NA,NA,NA,NA
"ENSG00000184702",62.6615242448866,-0.725588225070273,0.396934697905616,-1.82797883102375,0.0675527287586297,0.522086166511901
"ENSG00000286065",0,NA,NA,NA,NA,NA
"ENSG00000286066",0,NA,NA,NA,NA,NA
"ENSG00000286067",2.94099736441194,-0.0345376681874037,1.76586674647964,-0.019558479288574,0.984395586219301,NA
"ENSG00000286068",0,NA,NA,NA,NA,NA
"ENSG00000286069",0,NA,NA,NA,NA,NA
"ENSG00000184708",538.5845123981,-0.0544605503489789,0.216301680663215,-0.251780523304277,0.80121071258994,0.975007085816642
"ENSG00000283684",0,NA,NA,NA,NA,NA
"ENSG00000163462",56.3727419118627,-0.187441297844867,0.414679764291081,-0.452014576031481,0.651258481846364,0.944931450193421
"ENSG00000163464",1.99816486278181,3.05310383609948,2.34189099218637,1.30369169456907,0.192338722352657,NA
"ENSG00000163466",225.489794966723,-0.259832250147626,0.256866935112655,-1.01154416793143,0.311756052700978,0.81611285298657
