Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	28	3.1963470319634704	4.879876575963389E-10	ENSG00000108107, ENSG00000182899, ENSG00000145592, ENSG00000110700, ENSG00000112306, ENSG00000120705, ENSG00000198918, ENSG00000174748, ENSG00000170889, ENSG00000124614, ENSG00000156482, ENSG00000186468, ENSG00000125691, ENSG00000137818, ENSG00000118181, ENSG00000136942, ENSG00000177954, ENSG00000168028, ENSG00000149806, ENSG00000116251, ENSG00000114391, ENSG00000137154, ENSG00000231500, ENSG00000221983, ENSG00000089157, ENSG00000164587, ENSG00000162244, ENSG00000089154	836	74	8534	3.8625371783266518	3.079201600364456E-7	3.079202119432898E-7	3.0548027365530814E-7
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	36	4.10958904109589	2.4366299800978687E-9	ENSG00000108107, ENSG00000182899, ENSG00000172590, ENSG00000180992, ENSG00000173141, ENSG00000145592, ENSG00000110700, ENSG00000112306, ENSG00000171421, ENSG00000198918, ENSG00000174748, ENSG00000170889, ENSG00000124614, ENSG00000156482, ENSG00000186468, ENSG00000062582, ENSG00000125691, ENSG00000137818, ENSG00000239789, ENSG00000122140, ENSG00000118181, ENSG00000243147, ENSG00000136942, ENSG00000177954, ENSG00000168028, ENSG00000149806, ENSG00000116251, ENSG00000114391, ENSG00000137154, ENSG00000231500, ENSG00000221983, ENSG00000182154, ENSG00000089157, ENSG00000164587, ENSG00000162244, ENSG00000105364	813	123	8390	3.0204302043020426	2.180781482730154E-6	2.1832204621676905E-6	2.1832204621676905E-6
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	26	2.968036529680365	3.2276755307473088E-9	ENSG00000108107, ENSG00000182899, ENSG00000145592, ENSG00000110700, ENSG00000112306, ENSG00000198918, ENSG00000174748, ENSG00000170889, ENSG00000124614, ENSG00000156482, ENSG00000186468, ENSG00000125691, ENSG00000137818, ENSG00000118181, ENSG00000136942, ENSG00000177954, ENSG00000168028, ENSG00000149806, ENSG00000116251, ENSG00000114391, ENSG00000137154, ENSG00000231500, ENSG00000221983, ENSG00000089157, ENSG00000164587, ENSG00000162244	801	70	8217	3.810272873194222	1.0451158902857749E-5	1.0447985693029038E-5	1.0447985693029038E-5
GOTERM_CC_DIRECT	GO:0001527~microfibril	7	0.7990867579908676	2.0314676047546112E-5	ENSG00000138829, ENSG00000117122, ENSG00000166147, ENSG00000185761, ENSG00000142449, ENSG00000090006, ENSG00000142303	836	8	8534	8.932117224880383	0.012736881310016268	0.006409280293000799	0.006358493602881933
GOTERM_BP_DIRECT	GO:0006412~translation	32	3.65296803652968	3.289408151244646E-5	ENSG00000108107, ENSG00000182899, ENSG00000172590, ENSG00000145592, ENSG00000110700, ENSG00000112306, ENSG00000171421, ENSG00000198918, ENSG00000174748, ENSG00000170889, ENSG00000124614, ENSG00000156482, ENSG00000186468, ENSG00000125691, ENSG00000137818, ENSG00000239789, ENSG00000118181, ENSG00000136942, ENSG00000177954, ENSG00000123908, ENSG00000168028, ENSG00000149806, ENSG00000116251, ENSG00000114391, ENSG00000137154, ENSG00000231500, ENSG00000221983, ENSG00000182154, ENSG00000089157, ENSG00000164587, ENSG00000162244, ENSG00000105364	801	149	8217	2.2031521001432774	0.10103644764868469	0.053239070927894594	0.053239070927894594
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	13	1.4840182648401825	3.617376513035302E-5	ENSG00000118181, ENSG00000110700, ENSG00000112306, ENSG00000177954, ENSG00000168028, ENSG00000149806, ENSG00000170889, ENSG00000137154, ENSG00000124614, ENSG00000231500, ENSG00000221983, ENSG00000186468, ENSG00000164587	836	33	8534	4.021386109902856	0.022567515088225187	0.006732571345863677	0.006679222919985201
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	231	26.36986301369863	4.2678740702780835E-5	ENSG00000096433, ENSG00000151012, ENSG00000076944, ENSG00000213023, ENSG00000121281, ENSG00000099822, ENSG00000009307, ENSG00000073670, ENSG00000171302, ENSG00000148400, ENSG00000165548, ENSG00000050327, ENSG00000131653, ENSG00000108854, ENSG00000069188, ENSG00000114859, ENSG00000131899, ENSG00000198576, ENSG00000133275, ENSG00000104936, ENSG00000204305, ENSG00000168028, ENSG00000167972, ENSG00000140479, ENSG00000129219, ENSG00000105221, ENSG00000160305, ENSG00000149150, ENSG00000196187, ENSG00000111252, ENSG00000074181, ENSG00000100246, ENSG00000110719, ENSG00000160796, ENSG00000105376, ENSG00000093010, ENSG00000156599, ENSG00000103064, ENSG00000070159, ENSG00000198598, ENSG00000198910, ENSG00000169371, ENSG00000204084, ENSG00000008300, ENSG00000103742, ENSG00000165699, ENSG00000146555, ENSG00000160688, ENSG00000155254, ENSG00000073350, ENSG00000155816, ENSG00000179627, ENSG00000171105, ENSG00000196517, ENSG00000138111, ENSG00000173638, ENSG00000151208, ENSG00000100422, ENSG00000140326, ENSG00000149256, ENSG00000160216, ENSG00000149932, ENSG00000145214, ENSG00000140443, ENSG00000140564, ENSG00000197283, ENSG00000177697, ENSG00000134569, ENSG00000115107, ENSG00000115226, ENSG00000130881, ENSG00000204469, ENSG00000169710, ENSG00000165912, ENSG00000165914, ENSG00000125733, ENSG00000103126, ENSG00000144596, ENSG00000070886, ENSG00000132359, ENSG00000181045, ENSG00000197993, ENSG00000042753, ENSG00000197879, ENSG00000037280, ENSG00000173546, ENSG00000166333, ENSG00000143258, ENSG00000167543, ENSG00000084112, ENSG00000165802, ENSG00000149115, ENSG00000141873, ENSG00000148700, ENSG00000108960, ENSG00000142949, ENSG00000135519, ENSG00000149582, ENSG00000196411, ENSG00000204681, ENSG00000117425, ENSG00000143126, ENSG00000158292, ENSG00000141505, ENSG00000163517, ENSG00000167680, ENSG00000168890, ENSG00000064687, ENSG00000164050, ENSG00000110422, ENSG00000151651, ENSG00000171700, ENSG00000138434, ENSG00000122778, ENSG00000130827, ENSG00000130706, ENSG00000020181, ENSG00000103335, ENSG00000185436, ENSG00000126461, ENSG00000160932, ENSG00000243646, ENSG00000042088, ENSG00000150556, ENSG00000196557, ENSG00000154118, ENSG00000058453, ENSG00000063127, ENSG00000221983, ENSG00000169992, ENSG00000169750, ENSG00000214063, ENSG00000105186, ENSG00000164742, ENSG00000169758, ENSG00000099889, ENSG00000184916, ENSG00000160948, ENSG00000114923, ENSG00000083857, ENSG00000008710, ENSG00000135821, ENSG00000005206, ENSG00000116544, ENSG00000172932, ENSG00000162572, ENSG00000100767, ENSG00000160271, ENSG00000143570, ENSG00000162337, ENSG00000184489, ENSG00000128731, ENSG00000213199, ENSG00000151067, ENSG00000130821, ENSG00000092445, ENSG00000130703, ENSG00000139514, ENSG00000171298, ENSG00000111640, ENSG00000137216, ENSG00000196576, ENSG00000159346, ENSG00000105409, ENSG00000137218, ENSG00000131471, ENSG00000176749, ENSG00000049618, ENSG00000171608, ENSG00000188157, ENSG00000162104, ENSG00000164889, ENSG00000012232, ENSG00000100077, ENSG00000051128, ENSG00000148337, ENSG00000104863, ENSG00000132535, ENSG00000105711, ENSG00000138759, ENSG00000135926, ENSG00000204991, ENSG00000068724, ENSG00000115993, ENSG00000120318, ENSG00000167123, ENSG00000138074, ENSG00000146828, ENSG00000141934, ENSG00000129925, ENSG00000123384, ENSG00000142227, ENSG00000107331, ENSG00000085063, ENSG00000104853, ENSG00000001617, ENSG00000076356, ENSG00000150991, ENSG00000116032, ENSG00000141480, ENSG00000128602, ENSG00000108774, ENSG00000161714, ENSG00000105976, ENSG00000218336, ENSG00000213445, ENSG00000105738, ENSG00000081479, ENSG00000176533, ENSG00000172057, ENSG00000113594, ENSG00000134250, ENSG00000102225, ENSG00000270885, ENSG00000180900, ENSG00000124574, ENSG00000198794, ENSG00000112139, ENSG00000175216, ENSG00000196924, ENSG00000123815, ENSG00000274211, ENSG00000170315, ENSG00000006283, ENSG00000054793, ENSG00000185920, ENSG00000142798, ENSG00000108797, ENSG00000143761, ENSG00000014216, ENSG00000142675	836	1879	8534	1.2549648469230554	0.026571458025989703	0.006732571345863677	0.006679222919985201
GOTERM_MF_DIRECT	GO:0005201~extracellular matrix structural constituent	16	1.82648401826484	4.741344279382385E-5	ENSG00000138829, ENSG00000138759, ENSG00000130702, ENSG00000169231, ENSG00000134871, ENSG00000168477, ENSG00000117122, ENSG00000196739, ENSG00000188153, ENSG00000166147, ENSG00000204248, ENSG00000188157, ENSG00000090006, ENSG00000142449, ENSG00000163703, ENSG00000081052	813	50	8390	3.302337023370234	0.041548231303247474	0.021241222371633086	0.021241222371633086
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	14	1.5981735159817352	8.959159209586643E-5	ENSG00000125691, ENSG00000108107, ENSG00000182899, ENSG00000137818, ENSG00000145592, ENSG00000136942, ENSG00000198918, ENSG00000174748, ENSG00000116251, ENSG00000114391, ENSG00000221983, ENSG00000156482, ENSG00000089157, ENSG00000162244	836	41	8534	3.485704282880149	0.05496642892556691	0.011306458922498343	0.011216867330402476
GOTERM_CC_DIRECT	GO:0005840~ribosome	26	2.968036529680365	1.4980450993997427E-4	ENSG00000108107, ENSG00000182899, ENSG00000110700, ENSG00000174748, ENSG00000170889, ENSG00000124614, ENSG00000156482, ENSG00000186468, ENSG00000125691, ENSG00000137818, ENSG00000239789, ENSG00000122140, ENSG00000118181, ENSG00000177954, ENSG00000149806, ENSG00000116251, ENSG00000114391, ENSG00000137154, ENSG00000231500, ENSG00000221983, ENSG00000204248, ENSG00000089157, ENSG00000164587, ENSG00000162244, ENSG00000089154, ENSG00000105364	836	118	8534	2.2492498580812588	0.09020295037834292	0.015754440962020628	0.01562960387040398
