Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0539~Nucleus	528	53.38725985844287	3.1580701599544267E-25	ENSG00000162704, ENSG00000144161, ENSG00000198901, ENSG00000023734, ENSG00000168259, ENSG00000100109, ENSG00000151929, ENSG00000166197, ENSG00000136770, ENSG00000101558, ENSG00000023608, ENSG00000032219, ENSG00000108064, ENSG00000100462, ENSG00000100220, ENSG00000102760, ENSG00000094804, ENSG00000124795, ENSG00000116918, ENSG00000156136, ENSG00000115946, ENSG00000112312, ENSG00000159882, ENSG00000081721, ENSG00000159885, ENSG00000133398, ENSG00000135698, ENSG00000135334, ENSG00000173848, ENSG00000134480, ENSG00000127955, ENSG00000163811, ENSG00000164902, ENSG00000086189, ENSG00000102753, ENSG00000183520, ENSG00000086061, ENSG00000092978, ENSG00000121058, ENSG00000146457, ENSG00000136518, ENSG00000135547, ENSG00000115738, ENSG00000076248, ENSG00000162607, ENSG00000163938, ENSG00000076003, ENSG00000068745, ENSG00000168152, ENSG00000134453, ENSG00000076242, ENSG00000134697, ENSG00000102309, ENSG00000087269, ENSG00000101457, ENSG00000143294, ENSG00000121022, ENSG00000183431, ENSG00000124535, ENSG00000087263, ENSG00000136527, ENSG00000135316, ENSG00000134107, ENSG00000161526, ENSG00000122481, ENSG00000043355, ENSG00000146670, ENSG00000172301, ENSG00000142192, ENSG00000174720, ENSG00000115844, ENSG00000112578, ENSG00000171453, ENSG00000147649, ENSG00000169016, ENSG00000145220, ENSG00000122484, ENSG00000121152, ENSG00000101442, ENSG00000163950, ENSG00000124541, ENSG00000125630, ENSG00000160208, ENSG00000110104, ENSG00000067596, ENSG00000137947, ENSG00000110107, ENSG00000118197, ENSG00000145216, ENSG00000126814, ENSG00000205323, ENSG00000182481, ENSG00000125968, ENSG00000164934, ENSG00000108384, ENSG00000121481, ENSG00000161547, ENSG00000163961, ENSG00000187815, ENSG00000160214, ENSG00000065183, ENSG00000133119, ENSG00000156697, ENSG00000164815, ENSG00000163608, ENSG00000094841, ENSG00000137831, ENSG00000170142, ENSG00000136982, ENSG00000169032, ENSG00000133111, ENSG00000111786, ENSG00000170265, ENSG00000145569, ENSG00000148835, ENSG00000174738, ENSG00000149929, ENSG00000100532, ENSG00000183684, ENSG00000143384, ENSG00000090470, ENSG00000115816, ENSG00000067334, ENSG00000204574, ENSG00000099284, ENSG00000173545, ENSG00000173418, ENSG00000054267, ENSG00000100567, ENSG00000101413, ENSG00000145431, ENSG00000162772, ENSG00000184205, ENSG00000143498, ENSG00000153044, ENSG00000171490, ENSG00000165806, ENSG00000111445, ENSG00000171497, ENSG00000275700, ENSG00000163877, ENSG00000070501, ENSG00000101882, ENSG00000204209, ENSG00000162664, ENSG00000136936, ENSG00000091140, ENSG00000214753, ENSG00000213782, ENSG00000136819, ENSG00000111875, ENSG00000136938, ENSG00000171262, ENSG00000164609, ENSG00000254093, ENSG00000083635, ENSG00000153037, ENSG00000083520, ENSG00000145414, ENSG00000177917, ENSG00000164610, ENSG00000143476, ENSG00000187735, ENSG00000136826, ENSG00000198730, ENSG00000004487, ENSG00000196437, ENSG00000131013, ENSG00000121579, ENSG00000143106, ENSG00000143228, ENSG00000079134, ENSG00000120129, ENSG00000141040, ENSG00000071539, ENSG00000163659, ENSG00000011243, ENSG00000011485, ENSG00000107485, ENSG00000106399, ENSG00000165832, ENSG00000164985, ENSG00000071994, ENSG00000090273, ENSG00000091483, ENSG00000198522, ENSG00000155438, ENSG00000163660, ENSG00000078399, ENSG00000141030, ENSG00000079246, ENSG00000100644, ENSG00000164758, ENSG00000100883, ENSG00000143575, ENSG00000164754, ENSG00000146963, ENSG00000134748, ENSG00000278053, ENSG00000011260, ENSG00000165609, ENSG00000111641, ENSG00000133773, ENSG00000123737, ENSG00000055044, ENSG00000100519, ENSG00000142230, ENSG00000033030, ENSG00000013441, ENSG00000109445, ENSG00000165732, ENSG00000141026, ENSG00000106299, ENSG00000187626, ENSG00000197451, ENSG00000174574, ENSG00000198301, ENSG00000152382, ENSG00000177606, ENSG00000198546, ENSG00000132773, ENSG00000119203, ENSG00000156502, ENSG00000133740, ENSG00000060688, ENSG00000117133, ENSG00000116044, ENSG00000119328, ENSG00000116161, ENSG00000028839, ENSG00000196591, ENSG00000175792, ENSG00000006744, ENSG00000010072, ENSG00000132780, ENSG00000132664, ENSG00000120688, ENSG00000037897, ENSG00000100811, ENSG00000124802, ENSG00000164548, ENSG00000166848, ENSG00000164543, ENSG00000121774, ENSG00000067082, ENSG00000188739, ENSG00000108651, ENSG00000232040, ENSG00000111615, ENSG00000091164, ENSG00000111859, ENSG00000154781, ENSG00000176890, ENSG00000049541, ENSG00000129460, ENSG00000173145, ENSG00000177508, ENSG00000085721, ENSG00000100603, ENSG00000120539, ENSG00000116062, ENSG00000100601, ENSG00000108561, ENSG00000115091, ENSG00000109775, ENSG00000109534, ENSG00000111726, ENSG00000089195, ENSG00000108559, ENSG00000153561, ENSG00000198431, ENSG00000111845, ENSG00000139154, ENSG00000143401, ENSG00000164683, ENSG00000041802, ENSG00000165410, ENSG00000119318, ENSG00000156709, ENSG00000108671, ENSG00000096717, ENSG00000166508, ENSG00000140259, ENSG00000068394, ENSG00000075856, ENSG00000174371, ENSG00000174013, ENSG00000006712, ENSG00000040633, ENSG00000117697, ENSG00000143633, ENSG00000138398, ENSG00000165660, ENSG00000164338, ENSG00000164576, ENSG00000143751, ENSG00000126067, ENSG00000095574, ENSG00000175595, ENSG00000099810, ENSG00000129691, ENSG00000140350, ENSG00000116350, ENSG00000139372, ENSG00000120526, ENSG00000164109, ENSG00000164104, ENSG00000164105, ENSG00000155959, ENSG00000137168, ENSG00000100916, ENSG00000064703, ENSG00000186141, ENSG00000117597, ENSG00000145912, ENSG00000115053, ENSG00000107672, ENSG00000096401, ENSG00000111802, ENSG00000132604, ENSG00000197265, ENSG00000142507, ENSG00000109606, ENSG00000153767, ENSG00000120738, ENSG00000100906, ENSG00000081154, ENSG00000138385, ENSG00000117222, ENSG00000163156, ENSG00000188313, ENSG00000137054, ENSG00000037474, ENSG00000093009, ENSG00000166788, ENSG00000141543, ENSG00000163159, ENSG00000168724, ENSG00000124193, ENSG00000025156, ENSG00000151332, ENSG00000065978, ENSG00000138231, ENSG00000164134, ENSG00000163166, ENSG00000117650, ENSG00000116560, ENSG00000167881, ENSG00000187257, ENSG00000112081, ENSG00000159055, ENSG00000181938, ENSG00000048392, ENSG00000203705, ENSG00000074319, ENSG00000104221, ENSG00000104695, ENSG00000198492, ENSG00000150593, ENSG00000141759, ENSG00000116679, ENSG00000175279, ENSG00000166200, ENSG00000087510, ENSG00000169714, ENSG00000106305, ENSG00000117318, ENSG00000026025, ENSG00000265241, ENSG00000153975, ENSG00000165244, ENSG00000119707, ENSG00000123095, ENSG00000108953, ENSG00000198034, ENSG00000105568, ENSG00000107625, ENSG00000123091, ENSG00000073584, ENSG00000064995, ENSG00000136045, ENSG00000004700, ENSG00000167797, ENSG00000119953, ENSG00000118503, ENSG00000084463, ENSG00000170836, ENSG00000168883, ENSG00000225921, ENSG00000186298, ENSG00000048162, ENSG00000129518, ENSG00000127337, ENSG00000128789, ENSG00000125398, ENSG00000102241, ENSG00000077514, ENSG00000106723, ENSG00000130956, ENSG00000135047, ENSG00000159377, ENSG00000107937, ENSG00000099783, ENSG00000117614, ENSG00000151657, ENSG00000138795, ENSG00000138433, ENSG00000111196, ENSG00000113013, ENSG00000166477, ENSG00000130826, ENSG00000119929, ENSG00000101158, ENSG00000105991, ENSG00000126698, ENSG00000136146, ENSG00000150316, ENSG00000113368, ENSG00000065548, ENSG00000116752, ENSG00000096384, ENSG00000166483, ENSG00000086589, ENSG00000101146, ENSG00000175193, ENSG00000128886, ENSG00000100056, ENSG00000164070, ENSG00000171960, ENSG00000227057, ENSG00000134058, ENSG00000205581, ENSG00000255529, ENSG00000042429, ENSG00000087302, ENSG00000125347, ENSG00000215021, ENSG00000168438, ENSG00000148690, ENSG00000160714, ENSG00000124383, ENSG00000125351, ENSG00000099995, ENSG00000107949, ENSG00000117748, ENSG00000138668, ENSG00000134186, ENSG00000137574, ENSG00000138663, ENSG00000115685, ENSG00000137692, ENSG00000168566, ENSG00000113141, ENSG00000170515, ENSG00000171848, ENSG00000168564, ENSG00000153914, ENSG00000130935, ENSG00000180318, ENSG00000145293, ENSG00000040275, ENSG00000066422, ENSG00000104626, ENSG00000164091, ENSG00000135486, ENSG00000164093, ENSG00000075131, ENSG00000115875, ENSG00000113456, ENSG00000112242, ENSG00000113575, ENSG00000240682, ENSG00000008018, ENSG00000167005, ENSG00000110060, ENSG00000007168, ENSG00000006194, ENSG00000189159, ENSG00000091732, ENSG00000123268, ENSG00000100387, ENSG00000087365, ENSG00000155090, ENSG00000128951, ENSG00000127870, ENSG00000243725, ENSG00000112118, ENSG00000105821, ENSG00000064012, ENSG00000114416, ENSG00000041357, ENSG00000112237, ENSG00000051180, ENSG00000152804, ENSG00000156170, ENSG00000104763, ENSG00000112029, ENSG00000074266, ENSG00000104889, ENSG00000178035, ENSG00000064102, ENSG00000104408, ENSG00000204178, ENSG00000170312, ENSG00000171763, ENSG00000113593, ENSG00000146243, ENSG00000148300, ENSG00000176095, ENSG00000160633, ENSG00000146007, ENSG00000084073, ENSG00000101132, ENSG00000121067, ENSG00000147457, ENSG00000114315, ENSG00000137656, ENSG00000105849, ENSG00000113460, ENSG00000189046, ENSG00000112130, ENSG00000128708, ENSG00000089876, ENSG00000031691, ENSG00000126524, ENSG00000124226, ENSG00000145386, ENSG00000145388	894	3397	7922	1.3773226672567387	1.515873676778125E-23	1.515873676778125E-23	1.3895508703799478E-23
UP_KW_BIOLOGICAL_PROCESS	KW-0507~mRNA processing	86	8.695652173913043	1.2767449930294536E-17	ENSG00000075856, ENSG00000102241, ENSG00000160208, ENSG00000213782, ENSG00000136819, ENSG00000067596, ENSG00000130956, ENSG00000124193, ENSG00000164609, ENSG00000110107, ENSG00000099783, ENSG00000135486, ENSG00000117614, ENSG00000115875, ENSG00000151657, ENSG00000023734, ENSG00000138433, ENSG00000111196, ENSG00000065978, ENSG00000240682, ENSG00000119203, ENSG00000167005, ENSG00000060688, ENSG00000145216, ENSG00000138231, ENSG00000100109, ENSG00000163166, ENSG00000116560, ENSG00000112081, ENSG00000087365, ENSG00000161547, ENSG00000143751, ENSG00000141759, ENSG00000150316, ENSG00000111786, ENSG00000132463, ENSG00000116752, ENSG00000120688, ENSG00000079134, ENSG00000116350, ENSG00000086589, ENSG00000164548, ENSG00000183684, ENSG00000121774, ENSG00000011243, ENSG00000100056, ENSG00000127993, ENSG00000165832, ENSG00000146457, ENSG00000134453, ENSG00000137168, ENSG00000171960, ENSG00000175324, ENSG00000265241, ENSG00000064703, ENSG00000113593, ENSG00000100603, ENSG00000166133, ENSG00000119707, ENSG00000108561, ENSG00000183431, ENSG00000146007, ENSG00000168438, ENSG00000096401, ENSG00000136527, ENSG00000135316, ENSG00000099995, ENSG00000134748, ENSG00000109606, ENSG00000137656, ENSG00000174720, ENSG00000134186, ENSG00000119953, ENSG00000168566, ENSG00000163156, ENSG00000113141, ENSG00000084463, ENSG00000033030, ENSG00000168883, ENSG00000153914, ENSG00000163877, ENSG00000140259, ENSG00000163950, ENSG00000162664, ENSG00000141543, ENSG00000068394	648	284	5498	2.5692705616414537	1.5193265417050499E-15	1.3974920078557088E-15	1.314589939593082E-15
UP_KW_BIOLOGICAL_PROCESS	KW-0508~mRNA splicing	76	7.684529828109202	2.3686305217893368E-17	ENSG00000075856, ENSG00000102241, ENSG00000160208, ENSG00000213782, ENSG00000136819, ENSG00000067596, ENSG00000130956, ENSG00000124193, ENSG00000164609, ENSG00000110107, ENSG00000099783, ENSG00000135486, ENSG00000117614, ENSG00000115875, ENSG00000023734, ENSG00000138433, ENSG00000111196, ENSG00000065978, ENSG00000240682, ENSG00000060688, ENSG00000100109, ENSG00000163166, ENSG00000116560, ENSG00000112081, ENSG00000087365, ENSG00000161547, ENSG00000143751, ENSG00000141759, ENSG00000150316, ENSG00000111786, ENSG00000116752, ENSG00000120688, ENSG00000079134, ENSG00000116350, ENSG00000086589, ENSG00000164548, ENSG00000183684, ENSG00000011243, ENSG00000100056, ENSG00000127993, ENSG00000146457, ENSG00000134453, ENSG00000137168, ENSG00000171960, ENSG00000175324, ENSG00000265241, ENSG00000064703, ENSG00000113593, ENSG00000100603, ENSG00000119707, ENSG00000108561, ENSG00000183431, ENSG00000146007, ENSG00000168438, ENSG00000096401, ENSG00000136527, ENSG00000135316, ENSG00000099995, ENSG00000134748, ENSG00000109606, ENSG00000137656, ENSG00000174720, ENSG00000134186, ENSG00000119953, ENSG00000168566, ENSG00000163156, ENSG00000113141, ENSG00000084463, ENSG00000033030, ENSG00000168883, ENSG00000153914, ENSG00000163877, ENSG00000140259, ENSG00000162664, ENSG00000141543, ENSG00000068394	648	235	5498	2.74394536380352	2.818670320929311E-15	1.3974920078557088E-15	1.314589939593082E-15
UP_KW_BIOLOGICAL_PROCESS	KW-0690~Ribosome biogenesis	35	3.5389282103134483	1.6217673638948056E-12	ENSG00000111615, ENSG00000198301, ENSG00000107937, ENSG00000171763, ENSG00000173545, ENSG00000134697, ENSG00000135521, ENSG00000156469, ENSG00000145414, ENSG00000117133, ENSG00000145912, ENSG00000087269, ENSG00000117174, ENSG00000079246, ENSG00000108561, ENSG00000164338, ENSG00000130826, ENSG00000164934, ENSG00000109534, ENSG00000058729, ENSG00000143751, ENSG00000124383, ENSG00000156697, ENSG00000111845, ENSG00000111641, ENSG00000112578, ENSG00000136045, ENSG00000113460, ENSG00000055044, ENSG00000156928, ENSG00000130935, ENSG00000126524, ENSG00000163811, ENSG00000124541, ENSG00000124784	648	79	5498	3.758985779027973	1.92995841530319E-10	6.378951631319569E-11	6.000539246410781E-11
UP_KW_CELLULAR_COMPONENT	KW-0747~Spliceosome	46	4.651162790697675	2.169761130696238E-12	ENSG00000102241, ENSG00000136819, ENSG00000067596, ENSG00000164609, ENSG00000110107, ENSG00000135486, ENSG00000099783, ENSG00000134453, ENSG00000117614, ENSG00000171960, ENSG00000137168, ENSG00000265241, ENSG00000111196, ENSG00000240682, ENSG00000060688, ENSG00000113593, ENSG00000100109, ENSG00000100603, ENSG00000183431, ENSG00000087365, ENSG00000146007, ENSG00000168438, ENSG00000096401, ENSG00000135316, ENSG00000099995, ENSG00000134748, ENSG00000141759, ENSG00000137656, ENSG00000134186, ENSG00000150316, ENSG00000116752, ENSG00000120688, ENSG00000119953, ENSG00000168566, ENSG00000163156, ENSG00000113141, ENSG00000168883, ENSG00000033030, ENSG00000086589, ENSG00000153914, ENSG00000163877, ENSG00000183684, ENSG00000140259, ENSG00000100056, ENSG00000127993, ENSG00000141543	894	132	7922	3.08802793030981	1.0414602513719728E-10	5.207426713670971E-11	4.7734744875317236E-11
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	104	10.51567239635996	1.1068967485161692E-11	ENSG00000075856, ENSG00000102241, ENSG00000213782, ENSG00000136819, ENSG00000144161, ENSG00000130956, ENSG00000099783, ENSG00000083635, ENSG00000151657, ENSG00000111196, ENSG00000153037, ENSG00000083520, ENSG00000145414, ENSG00000130826, ENSG00000101158, ENSG00000143751, ENSG00000178105, ENSG00000115946, ENSG00000132463, ENSG00000135698, ENSG00000131013, ENSG00000079134, ENSG00000089737, ENSG00000116350, ENSG00000086589, ENSG00000163811, ENSG00000164902, ENSG00000086189, ENSG00000135387, ENSG00000134453, ENSG00000155438, ENSG00000064703, ENSG00000115053, ENSG00000145912, ENSG00000087302, ENSG00000100883, ENSG00000162851, ENSG00000096401, ENSG00000136527, ENSG00000125351, ENSG00000135316, ENSG00000278053, ENSG00000109606, ENSG00000165609, ENSG00000111641, ENSG00000138668, ENSG00000174720, ENSG00000111364, ENSG00000123737, ENSG00000138385, ENSG00000170515, ENSG00000168564, ENSG00000153914, ENSG00000037474, ENSG00000165732, ENSG00000163950, ENSG00000100353, ENSG00000141543, ENSG00000029639, ENSG00000197451, ENSG00000124193, ENSG00000104626, ENSG00000135486, ENSG00000118197, ENSG00000115875, ENSG00000065978, ENSG00000119203, ENSG00000167005, ENSG00000145216, ENSG00000117133, ENSG00000116560, ENSG00000167881, ENSG00000205323, ENSG00000112081, ENSG00000161547, ENSG00000123144, ENSG00000121486, ENSG00000198492, ENSG00000150593, ENSG00000114416, ENSG00000111786, ENSG00000037897, ENSG00000164548, ENSG00000183684, ENSG00000121774, ENSG00000188739, ENSG00000127993, ENSG00000111615, ENSG00000135900, ENSG00000178035, ENSG00000175324, ENSG00000265241, ENSG00000138050, ENSG00000119707, ENSG00000180228, ENSG00000160633, ENSG00000109534, ENSG00000198034, ENSG00000165806, ENSG00000107625, ENSG00000066654, ENSG00000143889, ENSG00000145388, ENSG00000068394	614	479	5419	1.916234282877602	8.633760373299992E-10	8.744484313277737E-10	8.63379463842612E-10
UP_KW_BIOLOGICAL_PROCESS	KW-0698~rRNA processing	32	3.2355915065722956	1.6688462334520913E-9	ENSG00000158526, ENSG00000111615, ENSG00000213782, ENSG00000029639, ENSG00000104626, ENSG00000083520, ENSG00000145414, ENSG00000117133, ENSG00000145912, ENSG00000087269, ENSG00000164338, ENSG00000130826, ENSG00000164934, ENSG00000109534, ENSG00000162851, ENSG00000160214, ENSG00000124383, ENSG00000011260, ENSG00000111641, ENSG00000135698, ENSG00000123737, ENSG00000170515, ENSG00000084463, ENSG00000130935, ENSG00000145220, ENSG00000163811, ENSG00000086189, ENSG00000183520, ENSG00000165732, ENSG00000108651, ENSG00000124541, ENSG00000141543	648	84	5498	3.2322163433274542	1.9859268818311904E-7	4.923096388683669E-8	4.6310482978295536E-8
UP_KW_MOLECULAR_FUNCTION	KW-0143~Chaperone	43	4.3478260869565215	1.0335928219468967E-8	ENSG00000137806, ENSG00000183527, ENSG00000133028, ENSG00000153132, ENSG00000111875, ENSG00000136938, ENSG00000112208, ENSG00000155959, ENSG00000164070, ENSG00000025772, ENSG00000171960, ENSG00000023318, ENSG00000113013, ENSG00000168259, ENSG00000100209, ENSG00000151929, ENSG00000136770, ENSG00000156261, ENSG00000089289, ENSG00000108588, ENSG00000126698, ENSG00000101132, ENSG00000166855, ENSG00000105821, ENSG00000069345, ENSG00000113845, ENSG00000150753, ENSG00000171497, ENSG00000151465, ENSG00000096384, ENSG00000143401, ENSG00000115484, ENSG00000164163, ENSG00000108176, ENSG00000183684, ENSG00000128789, ENSG00000187522, ENSG00000146731, ENSG00000204209, ENSG00000086061, ENSG00000059769, ENSG00000106993, ENSG00000168724	614	150	5419	2.5300434310532034	8.062020806498538E-7	4.082691646690242E-7	4.0310120055928973E-7
UP_KW_CELLULAR_COMPONENT	KW-0647~Proteasome	16	1.6177957532861478	1.417365199217852E-5	ENSG00000091164, ENSG00000126067, ENSG00000142507, ENSG00000159377, ENSG00000041357, ENSG00000115233, ENSG00000008018, ENSG00000100519, ENSG00000143106, ENSG00000119318, ENSG00000100567, ENSG00000101557, ENSG00000108671, ENSG00000161057, ENSG00000197170, ENSG00000108344	894	40	7922	3.5445190156599553	6.80108738226104E-4	2.2677843187485631E-4	2.0788022921861828E-4
UP_KW_BIOLOGICAL_PROCESS	KW-0235~DNA replication	21	2.1233569261880687	3.5044560341969064E-4	ENSG00000133119, ENSG00000112118, ENSG00000077514, ENSG00000164815, ENSG00000049541, ENSG00000117748, ENSG00000076003, ENSG00000136982, ENSG00000111445, ENSG00000151657, ENSG00000132780, ENSG00000256525, ENSG00000181938, ENSG00000166508, ENSG00000124535, ENSG00000093009, ENSG00000070501, ENSG00000106399, ENSG00000143751, ENSG00000143476, ENSG00000094804	648	76	5498	2.344420077972709	0.040852428982923183	0.008164234171840937	0.007679915195545287
