Image Name,Channel,Name,Signal,Total,Area,Bkgnd.,Type,Sample,Treatment,Protein,Replicate
0008704_03,800,55,1740,2290,410,1.35,Signal,TotalExtract,Control,PYM1,R1
0008704_03,800,56,481,909,320,1.34,Signal,TotalExtract,CHX,PYM1,R1
0008704_03,800,57,4130,5040,602,1.51,Signal,IP,Control,PYM1,R1
0008704_03,800,58,692,1490,615,1.3,Signal,IP,CHX,PYM1,R1
0008704_03,800,59,2570,3170,440,1.35,Signal,TotalExtract,Control,RBM8A,R1
0008704_03,800,60,1620,2220,460,1.31,Signal,TotalExtract,CHX,RBM8A,R1
0008704_03,800,61,197,723,390,1.35,Signal,IP,Control,RBM8A,R1
0008704_03,800,62,14.6,579,418,1.35,Signal,IP,CHX,RBM8A,R1
0008704_03,700,63,13800,17500,528,7.08,Signal,TotalExtract,Control,MAGOH,R1
0008704_03,700,64,16100,20100,576,6.99,Signal,TotalExtract,CHX,MAGOH,R1
0008704_03,700,65,699,3650,430,6.86,Signal,IP,Control,MAGOH,R1
0008704_03,700,66,43.3,2800,390,7.07,Signal,IP,CHX,MAGOH,R1
0008722_05,800,1,756,1140,420,0.919,Signal,TotalExtract,Control,PYM1,R2
0008722_05,800,2,638,1030,440,0.897,Signal,TotalExtract,Control,PYM1,R3
0008722_05,800,3,294,711,484,0.863,Signal,TotalExtract,CHX,PYM1,R2
0008722_05,800,4,338,706,420,0.876,Signal,TotalExtract,CHX,PYM1,R3
0008722_05,800,5,2870,3680,912,0.895,Signal,IP,Control,PYM1,R2
0008722_05,800,6,3650,4590,1050,0.9,Signal,IP,Control,PYM1,R3
0008722_05,800,7,1880,2700,950,0.864,Signal,IP,CHX,PYM1,R2
0008722_05,800,8,1930,2910,1152,0.849,Signal,IP,CHX,PYM1,R3
0008722_05,700,9,7410,13400,611,9.83,Signal,TotalExtract,Control,MAGOH,R2
0008722_05,700,10,12900,19600,672,9.96,Signal,TotalExtract,Control,MAGOH,R3
0008722_05,700,11,12000,19300,720,10.2,Signal,TotalExtract,CHX,MAGOH,R2
0008722_05,700,12,8470,15300,630,10.9,Signal,TotalExtract,CHX,MAGOH,R3
0008722_05,700,13,623,5120,473,9.5,Signal,IP,Control,MAGOH,R2
0008722_05,700,14,1190,6340,528,9.77,Signal,IP,Control,MAGOH,R3
0008722_05,700,15,535,5870,552,9.67,Signal,IP,CHX,MAGOH,R2
0008722_05,700,16,614,6720,630,9.69,Signal,IP,CHX,MAGOH,R3
0008704_0,800,68,4440,4990,451,1.24,Signal,TotalExtract,Control,TUBULIN,R1
0008704_0,800,70,4290,4870,473,1.22,Signal,TotalExtract,CHX,TUBULIN,R1
0008722_05,800,17,493,839,420,0.824,Signal,TotalExtract,Control,TUBULIN,R2
0008722_05,800,18,1080,1460,460,0.815,Signal,TotalExtract,CHX,TUBULIN,R2
0008722_05,800,19,1130,1580,540,0.829,Signal,TotalExtract,Control,TUBULIN,R3
0008722_05,800,20,474,824,420,0.832,Signal,TotalExtract,CHX,TUBULIN,R3
