Gene	Nuclear Fraction	Percentile
ENSG00000257605	0.0	0.007
ENSG00000126264	0.0	0.014
ENSG00000272288	0.0	0.021
ENSG00000264012	0.0	0.028
ENSG00000285884	0.0	0.0351
ENSG00000160318	0.0	0.0421
ENSG00000184524	0.0	0.0491
ENSG00000077420	0.0	0.0561
ENSG00000287978	0.0	0.0631
ENSG00000124575	0.0	0.0701
ENSG00000182327	0.0	0.0771
ENSG00000206172	0.0	0.0841
ENSG00000129152	0.0	0.0911
ENSG00000287115	0.0	0.0981
ENSG00000271040	0.0	0.1052
ENSG00000204612	0.0	0.1122
ENSG00000236668	0.0	0.1192
ENSG00000237250	0.0	0.1262
ENSG00000171794	0.0	0.1332
ENSG00000131477	0.0	0.1402
ENSG00000248925	0.0	0.1472
ENSG00000197409	0.0	0.1542
ENSG00000173947	0.0	0.1612
ENSG00000137440	0.0	0.1683
ENSG00000122585	0.0	0.1753
ENSG00000260367	0.0	0.1823
ENSG00000203724	0.0	0.1893
ENSG00000105427	0.006	0.1963
ENSG00000197061	0.014	0.2033
ENSG00000125148	0.018	0.2103
ENSG00000113196	0.018	0.2173
ENSG00000286408	0.019	0.2243
ENSG00000179673	0.019	0.2314
ENSG00000188820	0.02	0.2384
ENSG00000163888	0.02	0.2454
ENSG00000163191	0.021	0.2524
ENSG00000185883	0.021	0.2594
ENSG00000184260	0.022	0.2664
ENSG00000270673	0.022	0.2734
ENSG00000166426	0.024	0.2804
ENSG00000177556	0.027	0.2874
ENSG00000204392	0.029	0.2944
ENSG00000228594	0.03	0.3015
ENSG00000074317	0.03	0.3085
ENSG00000075624	0.031	0.3155
ENSG00000175130	0.031	0.3225
ENSG00000167996	0.032	0.3295
ENSG00000103187	0.033	0.3365
ENSG00000174015	0.033	0.3435
ENSG00000172757	0.033	0.3505
ENSG00000170315	0.034	0.3575
ENSG00000105516	0.034	0.3646
ENSG00000179271	0.035	0.3716
ENSG00000221983	0.035	0.3786
ENSG00000142089	0.035	0.3856
ENSG00000171159	0.035	0.3926
ENSG00000197747	0.036	0.3996
ENSG00000179862	0.036	0.4066
ENSG00000101439	0.036	0.4136
ENSG00000170296	0.036	0.4206
ENSG00000117450	0.036	0.4277
ENSG00000167797	0.037	0.4347
ENSG00000221821	0.037	0.4417
ENSG00000126247	0.038	0.4487
ENSG00000177600	0.038	0.4557
ENSG00000167552	0.039	0.4627
ENSG00000211445	0.039	0.4697
ENSG00000158710	0.039	0.4767
ENSG00000106211	0.039	0.4837
ENSG00000107796	0.04	0.4907
ENSG00000158825	0.04	0.4978
ENSG00000187193	0.04	0.5048
ENSG00000099624	0.04	0.5118
ENSG00000042753	0.04	0.5188
ENSG00000123416	0.04	0.5258
ENSG00000149925	0.041	0.5328
ENSG00000146701	0.041	0.5398
ENSG00000159335	0.041	0.5468
ENSG00000149806	0.041	0.5538
ENSG00000107438	0.041	0.5609
ENSG00000111640	0.041	0.5679
ENSG00000203883	0.041	0.5749
ENSG00000178741	0.041	0.5819
ENSG00000148834	0.041	0.5889
ENSG00000167553	0.041	0.5959
ENSG00000083845	0.041	0.6029
ENSG00000132507	0.041	0.6099
