Well,Target,Sample,Cq,File,Exp,,source_file,Well,Fluor,Target,Sample,Cq,Exp
A01,RPS9_PTC+,siNC,18.97,R1Q1,NMDtargets,,1,A01,SYBR,ACTB,HEK_DMSO_1,15.24204994,ncEJCtargets
A02,RPS9_PTC+,siNC,19.03,R1Q1,NMDtargets,,1,A02,SYBR,ACTB,HEK_DMSO_1,15.15735566,ncEJCtargets
A03,RPS9_PTC+,siNC,18.74,R1Q1,NMDtargets,,1,A03,SYBR,ACTB,HEK_DMSO_1,15.23052829,ncEJCtargets
A04,RPS9_PTC+,si eIF4A3,19.79,R1Q1,NMDtargets,,1,A04,SYBR,SRSF3_NOR,HEK_DMSO_1,20.01991994,ncEJCtargets
A05,RPS9_PTC+,si eIF4A3,19.92,R1Q1,NMDtargets,,1,A05,SYBR,SRSF3_NOR,HEK_DMSO_1,19.26274624,ncEJCtargets
A06,RPS9_PTC+,si eIF4A3,19.37,R1Q1,NMDtargets,,1,A06,SYBR,SRSF3_NOR,HEK_DMSO_1,19.88059692,ncEJCtargets
A07,RPS9_PTC+,si PYM1,18.84,R1Q1,NMDtargets,,1,A07,SYBR,SRSF3_PTC,HEK_DMSO_1,20.56578654,ncEJCtargets
A08,RPS9_PTC+,si PYM1,19.12,R1Q1,NMDtargets,,1,A08,SYBR,SRSF3_PTC,HEK_DMSO_1,20.88885448,ncEJCtargets
A09,RPS9_PTC+,si PYM1,18.99,R1Q1,NMDtargets,,1,A09,SYBR,SRSF3_PTC,HEK_DMSO_1,20.5115991,ncEJCtargets
B01,SRSF3_PTC+,siNC,24.11,R1Q1,NMDtargets,,1,A10,SYBR,BRD2,HEK_DMSO_1,16.89648815,ncEJCtargets
B02,SRSF3_PTC+,siNC,24.6,R1Q1,NMDtargets,,1,A11,SYBR,BRD2,HEK_DMSO_1,16.7611384,ncEJCtargets
B03,SRSF3_PTC+,siNC,24.59,R1Q1,NMDtargets,,1,A12,SYBR,BRD2,HEK_DMSO_1,16.840638,ncEJCtargets
B04,SRSF3_PTC+,si eIF4A3,24.02,R1Q1,NMDtargets,,1,B01,SYBR,ACTB,HEK_SMG1i_1,15.89610271,ncEJCtargets
B05,SRSF3_PTC+,si eIF4A3,24.42,R1Q1,NMDtargets,,1,B02,SYBR,ACTB,HEK_SMG1i_1,15.87770044,ncEJCtargets
B06,SRSF3_PTC+,si eIF4A3,24.5,R1Q1,NMDtargets,,1,B03,SYBR,ACTB,HEK_SMG1i_1,15.8941805,ncEJCtargets
B07,SRSF3_PTC+,si PYM1,26.12,R1Q1,NMDtargets,,1,B04,SYBR,SRSF3_NOR,HEK_SMG1i_1,20.0657071,ncEJCtargets
B08,SRSF3_PTC+,si PYM1,26.45,R1Q1,NMDtargets,,1,B05,SYBR,SRSF3_NOR,HEK_SMG1i_1,19.95262014,ncEJCtargets
B09,SRSF3_PTC+,si PYM1,26.31,R1Q1,NMDtargets,,1,B06,SYBR,SRSF3_NOR,HEK_SMG1i_1,19.84723299,ncEJCtargets
C01,SRSF2_PTC+,siNC,25.18,R1Q1,NMDtargets,,1,B07,SYBR,SRSF3_PTC,HEK_SMG1i_1,18.41580433,ncEJCtargets
C02,SRSF2_PTC+,siNC,25.87,R1Q1,NMDtargets,,1,B08,SYBR,SRSF3_PTC,HEK_SMG1i_1,18.34386752,ncEJCtargets
C03,SRSF2_PTC+,siNC,24.91,R1Q1,NMDtargets,,1,B09,SYBR,SRSF3_PTC,HEK_SMG1i_1,18.34386588,ncEJCtargets
C04,SRSF2_PTC+,si eIF4A3,23.61,R1Q1,NMDtargets,,1,B10,SYBR,BRD2,HEK_SMG1i_1,15.70825226,ncEJCtargets
C05,SRSF2_PTC+,si eIF4A3,23.93,R1Q1,NMDtargets,,1,B11,SYBR,BRD2,HEK_SMG1i_1,15.71398937,ncEJCtargets
C06,SRSF2_PTC+,si eIF4A3,24.24,R1Q1,NMDtargets,,1,B12,SYBR,BRD2,HEK_SMG1i_1,15.75867511,ncEJCtargets
C07,SRSF2_PTC+,si PYM1,26.42,R1Q1,NMDtargets,,1,C01,SYBR,ACTB,HEK_DMSO_2,14.96883911,ncEJCtargets
C08,SRSF2_PTC+,si PYM1,26.76,R1Q1,NMDtargets,,1,C02,SYBR,ACTB,HEK_DMSO_2,14.95017777,ncEJCtargets
C09,SRSF2_PTC+,si PYM1,26.88,R1Q1,NMDtargets,,1,C03,SYBR,ACTB,HEK_DMSO_2,14.88663009,ncEJCtargets
D01,GAPDH,siNC,15.87,R1Q1,NMDtargets,,1,C04,SYBR,SRSF3_NOR,HEK_DMSO_2,20.98963898,ncEJCtargets
D02,GAPDH,siNC,16.07,R1Q1,NMDtargets,,1,C05,SYBR,SRSF3_NOR,HEK_DMSO_2,20.97692978,ncEJCtargets
D03,GAPDH,siNC,16.1,R1Q1,NMDtargets,,1,C06,SYBR,SRSF3_NOR,HEK_DMSO_2,20.91804837,ncEJCtargets
D04,GAPDH,si eIF4A3,17.8,R1Q1,NMDtargets,,1,C07,SYBR,SRSF3_PTC,HEK_DMSO_2,21.87556197,ncEJCtargets
D05,GAPDH,si eIF4A3,16.85,R1Q1,NMDtargets,,1,C08,SYBR,SRSF3_PTC,HEK_DMSO_2,21.88286862,ncEJCtargets
D06,GAPDH,si eIF4A3,17.3,R1Q1,NMDtargets,,1,C09,SYBR,SRSF3_PTC,HEK_DMSO_2,21.68519457,ncEJCtargets
D07,GAPDH,si PYM1,17.44,R1Q1,NMDtargets,,1,C10,SYBR,BRD2,HEK_DMSO_2,18.50329865,ncEJCtargets
D08,GAPDH,si PYM1,18.29,R1Q1,NMDtargets,,1,C11,SYBR,BRD2,HEK_DMSO_2,18.58926173,ncEJCtargets
D09,GAPDH,si PYM1,18.72,R1Q1,NMDtargets,,1,C12,SYBR,BRD2,HEK_DMSO_2,18.5933712,ncEJCtargets
E01,TBP,siNC,21.59,R1Q1,NMDtargets,,1,D01,SYBR,ACTB,HEK_SMG1i_2,15.43625297,ncEJCtargets
E02,TBP,siNC,21.11,R1Q1,NMDtargets,,1,D02,SYBR,ACTB,HEK_SMG1i_2,15.32720458,ncEJCtargets
E03,TBP,siNC,21.7,R1Q1,NMDtargets,,1,D03,SYBR,ACTB,HEK_SMG1i_2,15.3023338,ncEJCtargets
E04,TBP,si eIF4A3,22.08,R1Q1,NMDtargets,,1,D04,SYBR,SRSF3_NOR,HEK_SMG1i_2,21.28408878,ncEJCtargets
E05,TBP,si eIF4A3,22.69,R1Q1,NMDtargets,,1,D05,SYBR,SRSF3_NOR,HEK_SMG1i_2,21.19752413,ncEJCtargets
E06,TBP,si eIF4A3,23.76,R1Q1,NMDtargets,,1,D06,SYBR,SRSF3_NOR,HEK_SMG1i_2,20.90699967,ncEJCtargets
E07,TBP,si PYM1,22.83,R1Q1,NMDtargets,,1,D07,SYBR,SRSF3_PTC,HEK_SMG1i_2,18.97896953,ncEJCtargets
E08,TBP,si PYM1,24.48,R1Q1,NMDtargets,,1,D08,SYBR,SRSF3_PTC,HEK_SMG1i_2,18.96169109,ncEJCtargets
E09,TBP,si PYM1,24.18,R1Q1,NMDtargets,,1,D09,SYBR,SRSF3_PTC,HEK_SMG1i_2,18.83913454,ncEJCtargets
F01,GAS5,siNC,16.48,R1Q1,NMDtargets,,1,D10,SYBR,BRD2,HEK_SMG1i_2,16.8701065,ncEJCtargets
F02,GAS5,siNC,16.08,R1Q1,NMDtargets,,1,D11,SYBR,BRD2,HEK_SMG1i_2,16.81603305,ncEJCtargets
F03,GAS5,siNC,16.9,R1Q1,NMDtargets,,1,D12,SYBR,BRD2,HEK_SMG1i_2,16.83603892,ncEJCtargets
F04,GAS5,si eIF4A3,16.89,R1Q1,NMDtargets,,1,E01,SYBR,ACTB,HEK_DMSO_3,15.59137906,ncEJCtargets
F05,GAS5,si eIF4A3,16.91,R1Q1,NMDtargets,,1,E02,SYBR,ACTB,HEK_DMSO_3,15.52410252,ncEJCtargets
F06,GAS5,si eIF4A3,16.91,R1Q1,NMDtargets,,1,E03,SYBR,ACTB,HEK_DMSO_3,15.57480139,ncEJCtargets
F07,GAS5,si PYM1,18.06,R1Q1,NMDtargets,,1,E04,SYBR,SRSF3_NOR,HEK_DMSO_3,20.05584171,ncEJCtargets
F08,GAS5,si PYM1,19.49,R1Q1,NMDtargets,,1,E05,SYBR,SRSF3_NOR,HEK_DMSO_3,20.05779726,ncEJCtargets
F09,GAS5,si PYM1,18.94,R1Q1,NMDtargets,,1,E06,SYBR,SRSF3_NOR,HEK_DMSO_3,19.7781803,ncEJCtargets
G01,ZFAS1,siNC,16.32,R1Q1,NMDtargets,,1,E07,SYBR,SRSF3_PTC,HEK_DMSO_3,20.82774541,ncEJCtargets
G02,ZFAS1,siNC,16.86,R1Q1,NMDtargets,,1,E08,SYBR,SRSF3_PTC,HEK_DMSO_3,20.79851071,ncEJCtargets
G03,ZFAS1,siNC,17.91,R1Q1,NMDtargets,,1,E09,SYBR,SRSF3_PTC,HEK_DMSO_3,20.85135209,ncEJCtargets
G04,ZFAS1,si eIF4A3,15.97,R1Q1,NMDtargets,,1,E10,SYBR,BRD2,HEK_DMSO_3,17.17362588,ncEJCtargets
G05,ZFAS1,si eIF4A3,16.25,R1Q1,NMDtargets,,1,E11,SYBR,BRD2,HEK_DMSO_3,17.02078978,ncEJCtargets
G06,ZFAS1,si eIF4A3,15.93,R1Q1,NMDtargets,,1,E12,SYBR,BRD2,HEK_DMSO_3,17.14452838,ncEJCtargets
G07,ZFAS1,si PYM1,19.23,R1Q1,NMDtargets,,1,F01,SYBR,ACTB,HEK_SMG1i_3,16.01199057,ncEJCtargets
G08,ZFAS1,si PYM1,19.58,R1Q1,NMDtargets,,1,F02,SYBR,ACTB,HEK_SMG1i_3,16.01238611,ncEJCtargets
G09,ZFAS1,si PYM1,19.28,R1Q1,NMDtargets,,1,F03,SYBR,ACTB,HEK_SMG1i_3,16.01267288,ncEJCtargets
H01,RSRC2_PTC+,siNC,20.19,R1Q1,NMDtargets,,1,F04,SYBR,SRSF3_NOR,HEK_SMG1i_3,19.94996383,ncEJCtargets
H02,RSRC2_PTC+,siNC,20.43,R1Q1,NMDtargets,,1,F05,SYBR,SRSF3_NOR,HEK_SMG1i_3,20.18887404,ncEJCtargets
H03,RSRC2_PTC+,siNC,20.74,R1Q1,NMDtargets,,1,F06,SYBR,SRSF3_NOR,HEK_SMG1i_3,19.82551267,ncEJCtargets
H04,RSRC2_PTC+,si eIF4A3,19.23,R1Q1,NMDtargets,,1,F07,SYBR,SRSF3_PTC,HEK_SMG1i_3,18.51618064,ncEJCtargets
H05,RSRC2_PTC+,si eIF4A3,19.36,R1Q1,NMDtargets,,1,F08,SYBR,SRSF3_PTC,HEK_SMG1i_3,18.52266585,ncEJCtargets
H06,RSRC2_PTC+,si eIF4A3,18.92,R1Q1,NMDtargets,,1,F09,SYBR,SRSF3_PTC,HEK_SMG1i_3,18.28517161,ncEJCtargets
H07,RSRC2_PTC+,si PYM1,22.19,R1Q1,NMDtargets,,1,F10,SYBR,BRD2,HEK_SMG1i_3,15.95384543,ncEJCtargets
H08,RSRC2_PTC+,si PYM1,21.79,R1Q1,NMDtargets,,1,F11,SYBR,BRD2,HEK_SMG1i_3,15.70941964,ncEJCtargets
H09,RSRC2_PTC+,si PYM1,22.03,R1Q1,NMDtargets,,1,F12,SYBR,BRD2,HEK_SMG1i_3,15.90821104,ncEJCtargets
A01,SRSF3_PTC+,siNC,25.29,R1Q2,NMDtargets,,1,G01,SYBR,ACTB,HCT_DMSO_1,14.96613589,ncEJCtargets
A02,SRSF3_PTC+,siNC,25.94,R1Q2,NMDtargets,,1,G02,SYBR,ACTB,HCT_DMSO_1,15.00209826,ncEJCtargets
A03,SRSF3_PTC+,siNC,26.02,R1Q2,NMDtargets,,1,G03,SYBR,ACTB,HCT_DMSO_1,14.91681118,ncEJCtargets
A04,SRSF3_PTC+,si eIF4A3,25.22,R1Q2,NMDtargets,,1,G04,SYBR,SRSF3_NOR,HCT_DMSO_1,21.05531883,ncEJCtargets
A05,SRSF3_PTC+,si eIF4A3,24.94,R1Q2,NMDtargets,,1,G05,SYBR,SRSF3_NOR,HCT_DMSO_1,21.04722507,ncEJCtargets
A06,SRSF3_PTC+,si eIF4A3,25.74,R1Q2,NMDtargets,,1,G06,SYBR,SRSF3_NOR,HCT_DMSO_1,20.75357688,ncEJCtargets
A07,SRSF3_PTC+,si PYM1,27.08,R1Q2,NMDtargets,,1,G07,SYBR,SRSF3_PTC,HCT_DMSO_1,21.90649675,ncEJCtargets
A08,SRSF3_PTC+,si PYM1,26.57,R1Q2,NMDtargets,,1,G08,SYBR,SRSF3_PTC,HCT_DMSO_1,21.94618563,ncEJCtargets
A09,SRSF3_PTC+,si PYM1,25.78,R1Q2,NMDtargets,,1,G09,SYBR,SRSF3_PTC,HCT_DMSO_1,21.75014991,ncEJCtargets
A10,SRSF3_PTC+,si UPF1,25.42,R1Q2,NMDtargets,,1,G10,SYBR,BRD2,HCT_DMSO_1,18.71232982,ncEJCtargets
A11,SRSF3_PTC+,si UPF1,26.13,R1Q2,NMDtargets,,1,G11,SYBR,BRD2,HCT_DMSO_1,18.77605237,ncEJCtargets
A12,SRSF3_PTC+,si UPF1,23.85,R1Q2,NMDtargets,,1,G12,SYBR,BRD2,HCT_DMSO_1,18.77139916,ncEJCtargets
B01,SRSF3_PTC-,siNC,23.81,R1Q2,NMDtargets,,1,H01,SYBR,ACTB,HCT_SMG1i_1,15.45684935,ncEJCtargets
B02,SRSF3_PTC-,siNC,23.39,R1Q2,NMDtargets,,1,H02,SYBR,ACTB,HCT_SMG1i_1,15.56430952,ncEJCtargets
B03,SRSF3_PTC-,siNC,23.48,R1Q2,NMDtargets,,1,H03,SYBR,ACTB,HCT_SMG1i_1,15.52323657,ncEJCtargets
