Well,Fluor,Target,Sample,Cq
A01,SYBR,EPHA2,HEK_DMSO_1,22.07038535621
A02,SYBR,EPHA2,HEK_DMSO_1,22.1000090677638
A03,SYBR,EPHA2,HEK_DMSO_1,22.0797772636639
A04,SYBR,EIF4G1,HEK_DMSO_1,18.8991048317652
A05,SYBR,EIF4G1,HEK_DMSO_1,18.9328809621521
A06,SYBR,EIF4G1,HEK_DMSO_1,18.8719487749828
A07,SYBR,DAZAP1,HEK_DMSO_1,18.21809310415
A08,SYBR,DAZAP1,HEK_DMSO_1,18.1878910380073
A09,SYBR,DAZAP1,HEK_DMSO_1,18.152139542488
A10,SYBR,CAPN1,HEK_DMSO_1,22.8549705672611
A11,SYBR,CAPN1,HEK_DMSO_1,22.8576875836438
A12,SYBR,CAPN1,HEK_DMSO_1,22.9478158341898
B01,SYBR,EPHA2,HEK_SMG1i_1,22.1449910545175
B02,SYBR,EPHA2,HEK_SMG1i_1,22.1926528280758
B03,SYBR,EPHA2,HEK_SMG1i_1,22.2275692881769
B04,SYBR,EIF4G1,HEK_SMG1i_1,19.1382764225094
B05,SYBR,EIF4G1,HEK_SMG1i_1,19.1917679348512
B06,SYBR,EIF4G1,HEK_SMG1i_1,19.2002598188951
B07,SYBR,DAZAP1,HEK_SMG1i_1,18.2887310591286
B08,SYBR,DAZAP1,HEK_SMG1i_1,18.229080802951
B09,SYBR,DAZAP1,HEK_SMG1i_1,18.2359971281329
B10,SYBR,CAPN1,HEK_SMG1i_1,23.0435724229178
B11,SYBR,CAPN1,HEK_SMG1i_1,23.0567782244917
B12,SYBR,CAPN1,HEK_SMG1i_1,23.1156239590068
C01,SYBR,EPHA2,HEK_DMSO_2,20.8003792565769
C02,SYBR,EPHA2,HEK_DMSO_2,20.7560338742
C03,SYBR,EPHA2,HEK_DMSO_2,20.8946009457464
C04,SYBR,EIF4G1,HEK_DMSO_2,19.7142945630948
C05,SYBR,EIF4G1,HEK_DMSO_2,19.7233322496527
C06,SYBR,EIF4G1,HEK_DMSO_2,19.6895503011155
C07,SYBR,DAZAP1,HEK_DMSO_2,19.0362936986141
C08,SYBR,DAZAP1,HEK_DMSO_2,19.0003915839571
C09,SYBR,DAZAP1,HEK_DMSO_2,18.8959371538649
C10,SYBR,CAPN1,HEK_DMSO_2,21.1256386967766
C11,SYBR,CAPN1,HEK_DMSO_2,20.9708300612712
C12,SYBR,CAPN1,HEK_DMSO_2,21.0742319049983
D01,SYBR,EPHA2,HEK_SMG1i_2,19.399099705896
D02,SYBR,EPHA2,HEK_SMG1i_2,19.3898595370551
D03,SYBR,EPHA2,HEK_SMG1i_2,19.3548992529018
D04,SYBR,EIF4G1,HEK_SMG1i_2,19.9290282938794
D05,SYBR,EIF4G1,HEK_SMG1i_2,19.9456626806316
D06,SYBR,EIF4G1,HEK_SMG1i_2,19.9512182820653
D07,SYBR,DAZAP1,HEK_SMG1i_2,19.301694012288
D08,SYBR,DAZAP1,HEK_SMG1i_2,19.2469589823045
D09,SYBR,DAZAP1,HEK_SMG1i_2,19.1899391027349
D10,SYBR,CAPN1,HEK_SMG1i_2,21.3769898991523
D11,SYBR,CAPN1,HEK_SMG1i_2,21.2761561399788
D12,SYBR,CAPN1,HEK_SMG1i_2,21.3372357369024
E01,SYBR,EPHA2,HEK_DMSO_3,22.1475721809281
E02,SYBR,EPHA2,HEK_DMSO_3,22.2016814028348
E03,SYBR,EPHA2,HEK_DMSO_3,22.1678622546994
E04,SYBR,EIF4G1,HEK_DMSO_3,19.0430349331228
E05,SYBR,EIF4G1,HEK_DMSO_3,19.0163551770773
