annotation_KD_method	quartile	gene	log2foldchange
50_100_UPF1_log2fold	Q1	ENSG00000154813	0.749372680684184
50_100_UPF1_log2fold	Q1	ENSG00000170340	-0.093079534181473
50_100_UPF1_log2fold	Q1	ENSG00000134318	0.742740173721801
50_100_UPF1_log2fold	Q1	ENSG00000165480	-0.172555217092264
50_100_UPF1_log2fold	Q1	ENSG00000147874	-0.369282937902812
50_100_UPF1_log2fold	Q1	ENSG00000183513	1.1456628800074
50_100_UPF1_log2fold	Q1	ENSG00000114023	0.128632806751616
50_100_UPF1_log2fold	Q1	ENSG00000164099	0.268045044917777
50_100_UPF1_log2fold	Q1	ENSG00000189057	0.59415314957278
50_100_UPF1_log2fold	Q1	ENSG00000132405	-1.28748589747141
50_100_UPF1_log2fold	Q1	ENSG00000247315	0.936525974843508
50_100_UPF1_log2fold	Q1	ENSG00000100519	-0.34315448468021
50_100_UPF1_log2fold	Q1	ENSG00000065911	0.0280772965306413
50_100_UPF1_log2fold	Q1	ENSG00000145332	0.625367312255454
50_100_UPF1_log2fold	Q1	ENSG00000100196	0.11843175084994
50_100_UPF1_log2fold	Q1	ENSG00000123575	0.451845799291305
50_100_UPF1_log2fold	Q1	ENSG00000156735	-0.0247434940863232
50_100_UPF1_log2fold	Q1	ENSG00000132963	-0.676982625568601
50_100_UPF1_log2fold	Q1	ENSG00000175324	-0.190657428574837
50_100_UPF1_log2fold	Q1	ENSG00000181788	-0.447555201921323
50_100_UPF1_log2fold	Q1	ENSG00000170854	0.229590100861032
50_100_UPF1_log2fold	Q1	ENSG00000050344	0.093590910573003
50_100_UPF1_log2fold	Q1	ENSG00000117682	-0.405867052168842
50_100_UPF1_log2fold	Q1	ENSG00000109099	-0.405867052168842
50_100_UPF1_log2fold	Q1	ENSG00000204568	0.05486859004393
50_100_UPF1_log2fold	Q1	ENSG00000122565	-0.525070040733385
50_100_UPF1_log2fold	Q1	ENSG00000147642	-1.45777471175749
50_100_UPF1_log2fold	Q1	ENSG00000172380	-0.199022398981891
50_100_UPF1_log2fold	Q1	ENSG00000198805	-0.358905560253647
50_100_UPF1_log2fold	Q1	ENSG00000151136	0.470258284499723
50_100_UPF1_log2fold	Q1	ENSG00000100294	-0.882349516567969
50_100_UPF1_log2fold	Q1	ENSG00000182247	-0.882349516567969
50_100_UPF1_log2fold	Q1	ENSG00000109519	-0.168743335449963
50_100_UPF1_log2fold	Q1	ENSG00000113387	-0.271795664182412
50_100_UPF1_log2fold	Q1	ENSG00000170142	0.743558729846645
50_100_UPF1_log2fold	Q1	ENSG00000172175	0.297657479432288
50_100_UPF1_log2fold	Q1	ENSG00000100300	-0.760951599411115
50_100_UPF1_log2fold	Q1	ENSG00000065154	-0.16165240762961
50_100_UPF1_log2fold	Q1	ENSG00000111530	0.18633983386598
50_100_UPF1_log2fold	Q1	ENSG00000166226	-0.314810328478616
50_100_UPF1_log2fold	Q1	ENSG00000174579	0.204545202864614
50_100_UPF1_log2fold	Q1	ENSG00000135069	-0.525952433884145
50_100_UPF1_log2fold	Q1	ENSG00000132664	0.49838304525382
50_100_UPF1_log2fold	Q1	ENSG00000109929	1.13379944545548
50_100_UPF1_log2fold	Q1	ENSG00000136261	-0.0366338741384214
50_100_UPF1_log2fold	Q1	ENSG00000159579	0.809120527308991
50_100_UPF1_log2fold	Q1	ENSG00000089050	0.660461255274842
50_100_UPF1_log2fold	Q1	ENSG00000143222	0.0414741672260585
50_100_UPF1_log2fold	Q1	ENSG00000198380	0.0414741672260585
50_100_UPF1_log2fold	Q1	ENSG00000165244	0.551865713605595
50_100_UPF1_log2fold	Q1	ENSG00000144369	-0.377412665214073
50_100_UPF1_log2fold	Q1	ENSG00000100380	0.625210470948288
50_100_UPF1_log2fold	Q1	ENSG00000116095	0.604993620282034
50_100_UPF1_log2fold	Q1	ENSG00000137509	-0.436117322842371
50_100_UPF1_log2fold	Q1	ENSG00000174738	0.417071790757949
50_100_UPF1_log2fold	Q1	ENSG00000145545	0.707202806080094
50_100_UPF1_log2fold	Q1	ENSG00000143106	-1.08233381429769
50_100_UPF1_log2fold	Q1	ENSG00000198363	-0.00533901570916552
50_100_UPF1_log2fold	Q1	ENSG00000136888	0.291720742161403
50_100_UPF1_log2fold	Q1	ENSG00000163634	-0.187270760799485
50_100_UPF1_log2fold	Q1	ENSG00000136897	0.00307013705975057
50_100_UPF1_log2fold	Q1	ENSG00000149308	-0.246965013465744
50_100_UPF1_log2fold	Q1	ENSG00000106537	0.48519609827406
50_100_UPF1_log2fold	Q1	ENSG00000138448	0.959575395354335
50_100_UPF1_log2fold	Q1	ENSG00000058262	-0.0666301046666979
50_100_UPF1_log2fold	Q1	ENSG00000153487	0.232843661386932
50_100_UPF1_log2fold	Q1	ENSG00000122042	0.468311373484367
50_100_UPF1_log2fold	Q1	ENSG00000163605	0.0345457723114433
50_100_UPF1_log2fold	Q1	ENSG00000102221	0.0345457723114433
50_100_UPF1_log2fold	Q1	ENSG00000175387	0.0345457723114433
50_100_UPF1_log2fold	Q1	ENSG00000086475	0.0758452324376909
50_100_UPF1_log2fold	Q1	ENSG00000182199	-1.11912190303847
50_100_UPF1_log2fold	Q1	ENSG00000198830	0.160838095419962
50_100_UPF1_log2fold	Q1	ENSG00000102931	-0.266648935994456
50_100_UPF1_log2fold	Q1	ENSG00000112972	-0.266648935994456
50_100_UPF1_log2fold	Q1	ENSG00000170365	-0.400949236915846
50_100_UPF1_log2fold	Q1	ENSG00000186480	-1.35008924621786
50_100_UPF1_log2fold	Q1	ENSG00000166479	0.527709734473868
50_100_UPF1_log2fold	Q1	ENSG00000137770	0.427693681069215
50_100_UPF1_log2fold	Q1	ENSG00000173848	-0.232439994954015
50_100_UPF1_log2fold	Q1	ENSG00000070761	0.00543403029342968
50_100_UPF1_log2fold	Q1	ENSG00000143457	-0.555850053047309
50_100_UPF1_log2fold	Q1	ENSG00000136045	-0.293182308554179
50_100_UPF1_log2fold	Q1	ENSG00000067167	0.357353370436016
50_100_UPF1_log2fold	Q1	ENSG00000103353	-0.0688347306265992
50_100_UPF1_log2fold	Q1	ENSG00000163558	0.690565564550424
50_100_UPF1_log2fold	Q1	ENSG00000165895	0.457388460983632
50_100_UPF1_log2fold	Q1	ENSG00000105854	-0.499645067898087
50_100_UPF1_log2fold	Q1	ENSG00000165732	-0.478029370317633
50_100_UPF1_log2fold	Q1	ENSG00000100387	0.092767134963065
50_100_UPF1_log2fold	Q1	ENSG00000143942	-0.473497065738199
50_100_UPF1_log2fold	Q1	ENSG00000110851	-0.188116061994258
50_100_UPF1_log2fold	Q1	ENSG00000132842	0.0335522384826115
50_100_UPF1_log2fold	Q1	ENSG00000069482	-1.53514092976761
50_100_UPF1_log2fold	Q1	ENSG00000198042	-0.302016719478418
50_100_UPF1_log2fold	Q1	ENSG00000157916	0.616126170770771
50_100_UPF1_log2fold	Q1	ENSG00000101310	0.37971409950846
50_100_UPF1_log2fold	Q1	ENSG00000165487	-0.238795154234587
50_100_UPF1_log2fold	Q1	ENSG00000165660	-0.260825615185654
50_100_UPF1_log2fold	Q1	ENSG00000189043	-0.332214441625675
50_100_UPF1_log2fold	Q1	ENSG00000116016	0.744280903522921
50_100_UPF1_log2fold	Q1	ENSG00000086300	-0.919287731263767
50_100_UPF1_log2fold	Q1	ENSG00000132467	0.150796171056527
50_100_UPF1_log2fold	Q1	ENSG00000136231	0.536733967475592
50_100_UPF1_log2fold	Q1	ENSG00000128059	-0.227430992884123
50_100_UPF1_log2fold	Q1	ENSG00000118705	0.220589618164791
50_100_UPF1_log2fold	Q1	ENSG00000189266	0.626466933359553
50_100_UPF1_log2fold	Q1	ENSG00000003436	0.839888224865038
50_100_UPF1_log2fold	Q1	ENSG00000151364	-0.996263736209826
50_100_UPF1_log2fold	Q1	ENSG00000175029	-0.996263736209826
50_100_UPF1_log2fold	Q1	ENSG00000117528	-0.683608029641783
50_100_UPF1_log2fold	Q1	ENSG00000170502	0.67572705629948
50_100_UPF1_log2fold	Q1	ENSG00000164104	0.112525865976225
50_100_UPF1_log2fold	Q1	ENSG00000090447	-1.24053143508383
50_100_UPF1_log2fold	Q1	ENSG00000137492	-0.0524597342642324
50_100_UPF1_log2fold	Q1	ENSG00000150961	1.38158092536268
50_100_UPF1_log2fold	Q1	ENSG00000132294	-0.0667126373970104
50_100_UPF1_log2fold	Q1	ENSG00000166068	0.544266462932989
50_100_UPF1_log2fold	Q1	ENSG00000119878	0.556027564485611
50_100_UPF1_log2fold	Q1	ENSG00000102781	0.789961682759859
50_100_UPF1_log2fold	Q1	ENSG00000151665	-1.08235116860431
50_100_UPF1_log2fold	Q1	ENSG00000171262	-0.0534997075037603
50_100_UPF1_log2fold	Q1	ENSG00000024526	-0.629209539763707
50_100_UPF1_log2fold	Q1	ENSG00000101557	0.380159184422593
50_100_UPF1_log2fold	Q1	ENSG00000177156	-0.534642828007122
50_100_UPF1_log2fold	Q1	ENSG00000165097	0.756176151521705
50_100_UPF1_log2fold	Q1	ENSG00000158716	0.756176151521705
50_100_UPF1_log2fold	Q1	ENSG00000143570	0.139845887474435
50_100_UPF1_log2fold	Q1	ENSG00000108561	-0.68425081015664
50_100_UPF1_log2fold	Q1	ENSG00000123595	0.391512425198876
50_100_UPF1_log2fold	Q1	ENSG00000168374	0.634784066856762
50_100_UPF1_log2fold	Q1	ENSG00000085365	0.634784066856762
50_100_UPF1_log2fold	Q1	ENSG00000107164	0.986961758589419
50_100_UPF1_log2fold	Q1	ENSG00000093000	0.184270310928855
50_100_UPF1_log2fold	Q1	ENSG00000120159	0.276327162556719
