annotation_KD_method	quartile	gene	log2foldchange
50_100_SMG_log2fold	Q1	ENSG00000154813	-0.1002536871266038
50_100_SMG_log2fold	Q1	ENSG00000092330	-1.6439980715030755
50_100_SMG_log2fold	Q1	ENSG00000100109	-0.4190533139359682
50_100_SMG_log2fold	Q1	ENSG00000170340	-0.513227610332385
50_100_SMG_log2fold	Q1	ENSG00000147874	-1.0992275164998504
50_100_SMG_log2fold	Q1	ENSG00000095209	-2.4285666734485156
50_100_SMG_log2fold	Q1	ENSG00000011009	-0.17005793015351703
50_100_SMG_log2fold	Q1	ENSG00000104611	0.022102997109327213
50_100_SMG_log2fold	Q1	ENSG00000183513	-1.9808144912168555
50_100_SMG_log2fold	Q1	ENSG00000114023	-1.3530878441723349
50_100_SMG_log2fold	Q1	ENSG00000196981	-0.671671211450261
50_100_SMG_log2fold	Q1	ENSG00000187815	-0.5180228111551739
50_100_SMG_log2fold	Q1	ENSG00000189057	0.20175682103410034
50_100_SMG_log2fold	Q1	ENSG00000118600	1.0827973591022284
50_100_SMG_log2fold	Q1	ENSG00000272391	-0.2978480215254695
50_100_SMG_log2fold	Q1	ENSG00000213920	-1.3929633662684542
50_100_SMG_log2fold	Q1	ENSG00000100519	-1.6380566355458883
50_100_SMG_log2fold	Q1	ENSG00000065911	-0.40698545520289936
50_100_SMG_log2fold	Q1	ENSG00000171729	-0.8877818717462347
50_100_SMG_log2fold	Q1	ENSG00000196227	-1.2118501281021488
50_100_SMG_log2fold	Q1	ENSG00000100372	-0.9967806952978745
50_100_SMG_log2fold	Q1	ENSG00000163421	-1.5157902297339851
50_100_SMG_log2fold	Q1	ENSG00000100196	0.166700841178229
50_100_SMG_log2fold	Q1	ENSG00000169016	-0.27513283849714437
50_100_SMG_log2fold	Q1	ENSG00000123575	-0.556344779171608
50_100_SMG_log2fold	Q1	ENSG00000133678	-1.0070861852654478
50_100_SMG_log2fold	Q1	ENSG00000176788	-0.7366898774960844
50_100_SMG_log2fold	Q1	ENSG00000156735	-0.9256665893551522
50_100_SMG_log2fold	Q1	ENSG00000132963	-0.6786715976988671
50_100_SMG_log2fold	Q1	ENSG00000175324	-0.5323742916406783
50_100_SMG_log2fold	Q1	ENSG00000177181	-0.9792348838162567
50_100_SMG_log2fold	Q1	ENSG00000170854	-1.8495435842075567
50_100_SMG_log2fold	Q1	ENSG00000050344	-1.4034362651812133
50_100_SMG_log2fold	Q1	ENSG00000109099	-1.4034362651812133
50_100_SMG_log2fold	Q1	ENSG00000170370	-0.19934253409452035
50_100_SMG_log2fold	Q1	ENSG00000204568	-0.8085160996061027
50_100_SMG_log2fold	Q1	ENSG00000179598	-1.326775006263068
50_100_SMG_log2fold	Q1	ENSG00000172380	-0.20018345407076288
50_100_SMG_log2fold	Q1	ENSG00000171044	1.2344278070935986
50_100_SMG_log2fold	Q1	ENSG00000081138	-0.03366909414339485
50_100_SMG_log2fold	Q1	ENSG00000113387	-1.6502096180829553
50_100_SMG_log2fold	Q1	ENSG00000170142	-0.5790782312285095
50_100_SMG_log2fold	Q1	ENSG00000108061	-0.9701174218385296
50_100_SMG_log2fold	Q1	ENSG00000166192	-1.3701410918050714
50_100_SMG_log2fold	Q1	ENSG00000174579	-0.3081158608208482
50_100_SMG_log2fold	Q1	ENSG00000135069	0.0033129803329871267
50_100_SMG_log2fold	Q1	ENSG00000109929	0.13860627320528313
50_100_SMG_log2fold	Q1	ENSG00000136261	-0.773362372900977
50_100_SMG_log2fold	Q1	ENSG00000089050	-0.11577441730071777
50_100_SMG_log2fold	Q1	ENSG00000143222	-0.41404705594173685
50_100_SMG_log2fold	Q1	ENSG00000168298	1.154043607491098
50_100_SMG_log2fold	Q1	ENSG00000079150	0.02871810413146302
50_100_SMG_log2fold	Q1	ENSG00000277157	-0.1057951281018988
50_100_SMG_log2fold	Q1	ENSG00000180263	0.6236172727119684
50_100_SMG_log2fold	Q1	ENSG00000165244	0.540481132661016
50_100_SMG_log2fold	Q1	ENSG00000100380	-0.7615495679893686
50_100_SMG_log2fold	Q1	ENSG00000116095	-0.9801112450849376
50_100_SMG_log2fold	Q1	ENSG00000117461	-1.387446469378308
50_100_SMG_log2fold	Q1	ENSG00000137509	-0.8444840111285516
50_100_SMG_log2fold	Q1	ENSG00000174738	-1.4753611866543535
50_100_SMG_log2fold	Q1	ENSG00000145545	0.35191977228262394
50_100_SMG_log2fold	Q1	ENSG00000134352	0.35191977228262394
50_100_SMG_log2fold	Q1	ENSG00000163608	-0.08703585686705137
50_100_SMG_log2fold	Q1	ENSG00000099940	-0.381348816880424
50_100_SMG_log2fold	Q1	ENSG00000111057	0.1495524292685727
50_100_SMG_log2fold	Q1	ENSG00000136888	-0.464153990479456
50_100_SMG_log2fold	Q1	ENSG00000136897	-0.932697362171673
50_100_SMG_log2fold	Q1	ENSG00000106537	-0.8319877005589743
50_100_SMG_log2fold	Q1	ENSG00000107745	-0.5454745545631458
50_100_SMG_log2fold	Q1	ENSG00000065518	-0.7444932715158681
50_100_SMG_log2fold	Q1	ENSG00000102218	-0.4295358067618287
50_100_SMG_log2fold	Q1	ENSG00000123131	-2.741231644017145
50_100_SMG_log2fold	Q1	ENSG00000153487	-0.6592542238013296
50_100_SMG_log2fold	Q1	ENSG00000145335	-3.54516642481968
50_100_SMG_log2fold	Q1	ENSG00000159228	-1.1074190650250266
50_100_SMG_log2fold	Q1	ENSG00000122042	-0.6150680756571829
50_100_SMG_log2fold	Q1	ENSG00000163605	-0.8032793373754953
50_100_SMG_log2fold	Q1	ENSG00000102221	-1.5660085316114676
50_100_SMG_log2fold	Q1	ENSG00000157426	-0.43530564017019735
50_100_SMG_log2fold	Q1	ENSG00000198830	-1.1502087969405812
50_100_SMG_log2fold	Q1	ENSG00000102931	-1.1656764021792323
50_100_SMG_log2fold	Q1	ENSG00000140284	-0.9998443226449306
50_100_SMG_log2fold	Q1	ENSG00000170365	-0.4474493896040173
50_100_SMG_log2fold	Q1	ENSG00000186480	-1.9323651855417028
50_100_SMG_log2fold	Q1	ENSG00000167720	-0.43726608830259756
50_100_SMG_log2fold	Q1	ENSG00000137770	0.1407307931948007
50_100_SMG_log2fold	Q1	ENSG00000004700	-0.01286779432089354
50_100_SMG_log2fold	Q1	ENSG00000143457	-0.1102370833208489
50_100_SMG_log2fold	Q1	ENSG00000136045	-0.7968004753969252
50_100_SMG_log2fold	Q1	ENSG00000121350	1.0516323418905682
50_100_SMG_log2fold	Q1	ENSG00000067167	-0.13498074531586768
50_100_SMG_log2fold	Q1	ENSG00000103353	-0.3022248580189178
50_100_SMG_log2fold	Q1	ENSG00000163558	-0.4485842622975974
50_100_SMG_log2fold	Q1	ENSG00000196455	-0.6389343403038564
50_100_SMG_log2fold	Q1	ENSG00000165895	1.0303765193254801
50_100_SMG_log2fold	Q1	ENSG00000041982	1.3484117675616878
50_100_SMG_log2fold	Q1	ENSG00000105854	-0.41495080012259433
