annotation_KD_method	quartile	gene	log2foldchange
50_100_UPF1_log2fold	Q1	ENSG00000154813	0.269520860073293
50_100_UPF1_log2fold	Q1	ENSG00000170340	-0.32096386066588
50_100_UPF1_log2fold	Q1	ENSG00000107140	0.424676342921208
50_100_UPF1_log2fold	Q1	ENSG00000134318	-0.376658688791447
50_100_UPF1_log2fold	Q1	ENSG00000165480	0.221695092519346
50_100_UPF1_log2fold	Q1	ENSG00000095209	-0.146402749270127
50_100_UPF1_log2fold	Q1	ENSG00000104611	-0.248879716389671
50_100_UPF1_log2fold	Q1	ENSG00000183513	0.569232653933472
50_100_UPF1_log2fold	Q1	ENSG00000189057	0.0703007564321757
50_100_UPF1_log2fold	Q1	ENSG00000198815	0.0266124480658404
50_100_UPF1_log2fold	Q1	ENSG00000247315	-0.237856622606834
50_100_UPF1_log2fold	Q1	ENSG00000115107	-0.0200467457165446
50_100_UPF1_log2fold	Q1	ENSG00000065911	-0.0303802265271332
50_100_UPF1_log2fold	Q1	ENSG00000100196	0.218029737691118
50_100_UPF1_log2fold	Q1	ENSG00000079215	0.593987993260513
50_100_UPF1_log2fold	Q1	ENSG00000123575	-0.0702406254259419
50_100_UPF1_log2fold	Q1	ENSG00000132376	0.248247391199007
50_100_UPF1_log2fold	Q1	ENSG00000157212	-1.4028295720901
50_100_UPF1_log2fold	Q1	ENSG00000156735	-0.437074566274728
50_100_UPF1_log2fold	Q1	ENSG00000132963	0.0788212119660952
50_100_UPF1_log2fold	Q1	ENSG00000104517	0.328214062073271
50_100_UPF1_log2fold	Q1	ENSG00000179598	-0.533051179371624
50_100_UPF1_log2fold	Q1	ENSG00000172380	-0.150038713914259
50_100_UPF1_log2fold	Q1	ENSG00000164818	-0.130404947779643
50_100_UPF1_log2fold	Q1	ENSG00000125845	-0.879149469550127
50_100_UPF1_log2fold	Q1	ENSG00000198900	-0.369091641603992
50_100_UPF1_log2fold	Q1	ENSG00000100294	0.466091539820171
50_100_UPF1_log2fold	Q1	ENSG00000113387	-0.336596136527765
50_100_UPF1_log2fold	Q1	ENSG00000104643	0.0879919929243835
50_100_UPF1_log2fold	Q1	ENSG00000172175	0.183782703313148
50_100_UPF1_log2fold	Q1	ENSG00000116685	-0.653460650005228
50_100_UPF1_log2fold	Q1	ENSG00000065154	-0.371762797019686
50_100_UPF1_log2fold	Q1	ENSG00000111530	-0.217475306915792
50_100_UPF1_log2fold	Q1	ENSG00000174579	-0.417813344282603
50_100_UPF1_log2fold	Q1	ENSG00000135069	-0.111759186193495
50_100_UPF1_log2fold	Q1	ENSG00000132664	-0.270981200201662
50_100_UPF1_log2fold	Q1	ENSG00000109929	1.05404306212417
50_100_UPF1_log2fold	Q1	ENSG00000159579	0.0778102691902703
50_100_UPF1_log2fold	Q1	ENSG00000068784	0.298407443693979
50_100_UPF1_log2fold	Q1	ENSG00000089050	0.276943660546276
50_100_UPF1_log2fold	Q1	ENSG00000143222	0.141091432530962
50_100_UPF1_log2fold	Q1	ENSG00000171824	-0.25725419444681
50_100_UPF1_log2fold	Q1	ENSG00000035928	0.0310909632281743
50_100_UPF1_log2fold	Q1	ENSG00000100380	-0.246613669467828
50_100_UPF1_log2fold	Q1	ENSG00000116095	-0.4271156754836
50_100_UPF1_log2fold	Q1	ENSG00000117461	-0.216314880759519
50_100_UPF1_log2fold	Q1	ENSG00000174738	0.2592876237955
50_100_UPF1_log2fold	Q1	ENSG00000145545	0.340748409298483
50_100_UPF1_log2fold	Q1	ENSG00000134352	0.663877094762252
50_100_UPF1_log2fold	Q1	ENSG00000163608	0.12928295227487
50_100_UPF1_log2fold	Q1	ENSG00000143106	0.00962251341503632
50_100_UPF1_log2fold	Q1	ENSG00000099940	-0.0954405345348778
50_100_UPF1_log2fold	Q1	ENSG00000111057	-0.672884826263588
50_100_UPF1_log2fold	Q1	ENSG00000136888	0.0724441285985108
50_100_UPF1_log2fold	Q1	ENSG00000136897	0.0660871017051049
50_100_UPF1_log2fold	Q1	ENSG00000149308	0.0391786643159481
50_100_UPF1_log2fold	Q1	ENSG00000106537	-0.469650281439978
50_100_UPF1_log2fold	Q1	ENSG00000153214	-0.0199650313044476
50_100_UPF1_log2fold	Q1	ENSG00000123131	-0.0675123635368567
50_100_UPF1_log2fold	Q1	ENSG00000153487	-0.219705958730884
50_100_UPF1_log2fold	Q1	ENSG00000145335	0.0177290423637007
50_100_UPF1_log2fold	Q1	ENSG00000159228	0.0214903104860091
50_100_UPF1_log2fold	Q1	ENSG00000171227	0.274535968731042
50_100_UPF1_log2fold	Q1	ENSG00000122042	-0.343483425178021
50_100_UPF1_log2fold	Q1	ENSG00000186350	0.0977808272466286
50_100_UPF1_log2fold	Q1	ENSG00000163605	-0.267812389953475
50_100_UPF1_log2fold	Q1	ENSG00000102221	0.293875412015116
50_100_UPF1_log2fold	Q1	ENSG00000182199	-0.0521810121257198
50_100_UPF1_log2fold	Q1	ENSG00000127334	0.182819241841599
50_100_UPF1_log2fold	Q1	ENSG00000130956	-0.39580114695825
50_100_UPF1_log2fold	Q1	ENSG00000124370	0.346776188899051
50_100_UPF1_log2fold	Q1	ENSG00000198830	-0.323623157801291
50_100_UPF1_log2fold	Q1	ENSG00000185686	-6.07798082949543
50_100_UPF1_log2fold	Q1	ENSG00000170365	-0.310685243223435
50_100_UPF1_log2fold	Q1	ENSG00000186480	-0.0634284490950714
50_100_UPF1_log2fold	Q1	ENSG00000004700	0.0120945526781487
50_100_UPF1_log2fold	Q1	ENSG00000173848	0.0562900538313235
50_100_UPF1_log2fold	Q1	ENSG00000070761	-0.179699774414624
50_100_UPF1_log2fold	Q1	ENSG00000143457	0.0499012249613778
50_100_UPF1_log2fold	Q1	ENSG00000136045	-0.106966898926526
50_100_UPF1_log2fold	Q1	ENSG00000121350	0.0907153409705188
50_100_UPF1_log2fold	Q1	ENSG00000067167	-0.149419588364884
50_100_UPF1_log2fold	Q1	ENSG00000103353	0.03835225203807
50_100_UPF1_log2fold	Q1	ENSG00000163558	-0.263224329687966
50_100_UPF1_log2fold	Q1	ENSG00000165895	-0.0223141280504698
50_100_UPF1_log2fold	Q1	ENSG00000105854	0.0316644632891809
50_100_UPF1_log2fold	Q1	ENSG00000113389	-0.0906823239915342
50_100_UPF1_log2fold	Q1	ENSG00000165732	-0.385078155076786
50_100_UPF1_log2fold	Q1	ENSG00000143942	-0.0857384646001985
50_100_UPF1_log2fold	Q1	ENSG00000132842	-0.0760199059604035
50_100_UPF1_log2fold	Q1	ENSG00000157916	-0.451563284288663
50_100_UPF1_log2fold	Q1	ENSG00000174891	-0.414781136217231
50_100_UPF1_log2fold	Q1	ENSG00000101310	0.0239026126166949
50_100_UPF1_log2fold	Q1	ENSG00000172244	-0.279258676107915
50_100_UPF1_log2fold	Q1	ENSG00000114120	0.186055983362732
50_100_UPF1_log2fold	Q1	ENSG00000189043	0.00450933520878453
50_100_UPF1_log2fold	Q1	ENSG00000116016	0.0268907245195724
50_100_UPF1_log2fold	Q1	ENSG00000086300	0.558823128344337
50_100_UPF1_log2fold	Q1	ENSG00000136231	0.233125276422206
50_100_UPF1_log2fold	Q1	ENSG00000165417	-0.165397743631168
50_100_UPF1_log2fold	Q1	ENSG00000189266	-0.0418902795285346
50_100_UPF1_log2fold	Q1	ENSG00000116212	-0.570755740743951
