Sample	Target	N	Cq	sd	se	ci	Delcq	Rel.levels	Sampletype	RepNo	CellLine	Rel.Norm.Levels
HEK_DMSO_1	ACTB	3	15.209977961567066	0.04593492390483818	0.0265205406816633	0.11410867675839026	0	1	DMSO	1	HEK	1
HEK_SMG1i_1	ACTB	3	15.889327885521332	0.01011542162282825	0.005840141396906451	0.02512810032352238	0	1	SMG1i	1	HEK	1
HEK_DMSO_1	BRD2	3	16.832754849159635	0.06801835483853007	0.03927041547586082	0.16896696034560807	1.6227768875925683	0.32470986309435856	DMSO	1	HEK	1
HEK_SMG1i_1	BRD2	3	15.726972248006634	0.027604929984899506	0.015937713757742503	0.06857444760571633	-0.16235563751469861	1.1191129386048198	SMG1i	1	HEK	3.4465012178567944
HEK_DMSO_1	CAPN1	3	22.88682466169823	0.052837372057362046	0.03050567098059039	0.1312553085174762	7.676846700131165	0.00488696097700769	DMSO	1	HEK	1
HEK_SMG1i_1	CAPN1	3	23.0719915354721	0.03835934809711771	0.02214677994980947	0.09528990320620837	7.182663649950769	0.0068833965940002274	SMG1i	1	HEK	1.4085229299733357
HEK_DMSO_1	DAZAP1	3	18.1860412282151	0.033015669328006474	0.01906160557400021	0.08201546925637956	2.9760632666480333	0.1270912606936884	DMSO	1	HEK	1
HEK_SMG1i_1	DAZAP1	3	18.251269663404166	0.03262630864382944	0.01883680807817874	0.08104824369734248	2.3619417778828335	0.1945291444951589	SMG1i	1	HEK	1.5306256577626316
HEK_DMSO_1	EIF4G1	3	18.9013115229667	0.030525972103320996	0.017624178211127384	0.07583071848969823	3.6913335613996345	0.07741014376405463	DMSO	1	HEK	1
HEK_SMG1i_1	EIF4G1	3	19.1767680587519	0.033604055843341994	0.01940131068701672	0.08347710238820989	3.287440173230568	0.10241932255677168	SMG1i	1	HEK	1.3230736642079466
HEK_DMSO_1	EPHA2	3	22.0833905625459	0.015138791833025574	0.008740385540003023	0.03760684370275673	6.873412600978835	0.008528970937068232	DMSO	1	HEK	1
HEK_SMG1i_1	EPHA2	3	22.188404390256732	0.0414527210989022	0.023932739685093664	0.10297426773645153	6.2990765047354	0.012699570317105408	SMG1i	1	HEK	1.4889920965624472
HEK_DMSO_1	FOXK1	3	22.6971304291753	0.16543040468728779	0.09551128867835433	0.4109519069538101	7.487152467608233	0.005573686340767273	DMSO	1	HEK	1
HEK_SMG1i_1	FOXK1	3	22.640295622476366	0.15816075015995745	0.09131415168008458	0.3928930839910723	6.750967736955033	0.009284450634464125	SMG1i	1	HEK	1.6657648218478738
