Well,Target,Sample,Cq,File
A01,RPS9_PTC+,siNC,18.97,R1Q1
A02,RPS9_PTC+,siNC,19.03,R1Q1
A03,RPS9_PTC+,siNC,18.74,R1Q1
A04,RPS9_PTC+,si eIF4A3,19.79,R1Q1
A05,RPS9_PTC+,si eIF4A3,19.92,R1Q1
A06,RPS9_PTC+,si eIF4A3,19.37,R1Q1
A07,RPS9_PTC+,si PYM1,18.84,R1Q1
A08,RPS9_PTC+,si PYM1,19.12,R1Q1
A09,RPS9_PTC+,si PYM1,18.99,R1Q1
B01,SRSF3_PTC+,siNC,24.11,R1Q1
B02,SRSF3_PTC+,siNC,24.6,R1Q1
B03,SRSF3_PTC+,siNC,24.59,R1Q1
B04,SRSF3_PTC+,si eIF4A3,24.02,R1Q1
B05,SRSF3_PTC+,si eIF4A3,24.42,R1Q1
B06,SRSF3_PTC+,si eIF4A3,24.5,R1Q1
B07,SRSF3_PTC+,si PYM1,26.12,R1Q1
B08,SRSF3_PTC+,si PYM1,26.45,R1Q1
B09,SRSF3_PTC+,si PYM1,26.31,R1Q1
C01,SRSF2_PTC+,siNC,25.18,R1Q1
C02,SRSF2_PTC+,siNC,25.87,R1Q1
C03,SRSF2_PTC+,siNC,24.91,R1Q1
C04,SRSF2_PTC+,si eIF4A3,23.61,R1Q1
C05,SRSF2_PTC+,si eIF4A3,23.93,R1Q1
C06,SRSF2_PTC+,si eIF4A3,24.24,R1Q1
C07,SRSF2_PTC+,si PYM1,26.42,R1Q1
C08,SRSF2_PTC+,si PYM1,26.76,R1Q1
C09,SRSF2_PTC+,si PYM1,26.88,R1Q1
D01,GAPDH,siNC,15.87,R1Q1
D02,GAPDH,siNC,16.07,R1Q1
D03,GAPDH,siNC,16.1,R1Q1
D04,GAPDH,si eIF4A3,17.8,R1Q1
D05,GAPDH,si eIF4A3,16.85,R1Q1
D06,GAPDH,si eIF4A3,17.3,R1Q1
D07,GAPDH,si PYM1,17.44,R1Q1
D08,GAPDH,si PYM1,18.29,R1Q1
D09,GAPDH,si PYM1,18.72,R1Q1
E01,TBP,siNC,21.59,R1Q1
E02,TBP,siNC,21.11,R1Q1
E03,TBP,siNC,21.7,R1Q1
E04,TBP,si eIF4A3,22.08,R1Q1
E05,TBP,si eIF4A3,22.69,R1Q1
E06,TBP,si eIF4A3,23.76,R1Q1
E07,TBP,si PYM1,22.83,R1Q1
E08,TBP,si PYM1,24.48,R1Q1
E09,TBP,si PYM1,24.18,R1Q1
F01,GAS5,siNC,16.48,R1Q1
F02,GAS5,siNC,16.08,R1Q1
F03,GAS5,siNC,16.9,R1Q1
F04,GAS5,si eIF4A3,16.89,R1Q1
F05,GAS5,si eIF4A3,16.91,R1Q1
F06,GAS5,si eIF4A3,16.91,R1Q1
