ensembl_gene_id	ensembl_transcript_id
ENSG00000173757	ENST00000293328
ENSG00000140534	ENST00000268138
ENSG00000117335	ENST00000322875
ENSG00000162244	ENST00000294189
ENSG00000126934	ENST00000262948
ENSG00000143614	ENST00000368655
ENSG00000143183	ENST00000612311
ENSG00000071553	ENST00000369762
ENSG00000172775	ENST00000309137
ENSG00000112305	ENST00000370455
ENSG00000126016	ENST00000371959
ENSG00000169684	ENST00000299565
ENSG00000096060	ENST00000357266
ENSG00000184787	ENST00000345496
ENSG00000106400	ENST00000305105
ENSG00000106397	ENST00000223127
ENSG00000086504	ENST00000199706
ENSG00000183648	ENST00000329559
ENSG00000168701	ENST00000304800
ENSG00000167173	ENST00000394987
ENSG00000066117	ENST00000394963
ENSG00000151304	ENST00000339397
ENSG00000178502	ENST00000319121
ENSG00000164904	ENST00000409134
ENSG00000149182	ENST00000524782
ENSG00000158793	ENST00000368009
ENSG00000023572	ENST00000367439
ENSG00000165934	ENST00000298875
ENSG00000116747	ENST00000400968
ENSG00000143256	ENST00000368010
ENSG00000116750	ENST00000367455
ENSG00000170345	ENST00000303562
ENSG00000096063	ENST00000373825
ENSG00000184508	ENST00000330334
ENSG00000140553	ENST00000418476
ENSG00000133935	ENST00000256319
ENSG00000198715	ENST00000362007
ENSG00000119650	ENST00000314067
ENSG00000005022	ENST00000317881
ENSG00000065548	ENST00000337859
ENSG00000112578	ENST00000230340
ENSG00000178449	ENST00000550487
ENSG00000177082	ENST00000434634
ENSG00000188021	ENST00000338222
ENSG00000008838	ENST00000394128
ENSG00000006125	ENST00000610402
ENSG00000168610	ENST00000264657
ENSG00000270647	ENST00000605844
ENSG00000135723	ENST00000258201
ENSG00000198700	ENST00000361565
ENSG00000143158	ENST00000271373
ENSG00000138443	ENST00000261017
ENSG00000164902	ENST00000297540
ENSG00000177971	ENST00000403490
ENSG00000112118	ENST00000616552
ENSG00000113368	ENST00000261366
ENSG00000112576	ENST00000372991
ENSG00000158402	ENST00000323760
ENSG00000064961	ENST00000333651
ENSG00000105325	ENST00000395095
ENSG00000077721	ENST00000371558
ENSG00000167522	ENST00000301030
ENSG00000172534	ENST00000310441
ENSG00000186416	ENST00000542113
ENSG00000198901	ENST00000394249
ENSG00000138363	ENST00000236959
ENSG00000134375	ENST00000367287
ENSG00000143155	ENST00000367833
ENSG00000137413	ENST00000372977
ENSG00000033627	ENST00000264649
ENSG00000103035	ENST00000219313
ENSG00000198860	ENST00000645668
ENSG00000167196	ENST00000308275
ENSG00000184216	ENST00000369980
ENSG00000140612	ENST00000268220
ENSG00000228300	ENST00000409293
ENSG00000166716	ENST00000560079
ENSG00000176393	ENST00000295640
ENSG00000068120	ENST00000590958
ENSG00000203879	ENST00000447750
ENSG00000125354	ENST00000343984
ENSG00000108825	ENST00000421990
ENSG00000156508	ENST00000309268
ENSG00000048544	ENST00000053468
ENSG00000117475	ENST00000329281
ENSG00000071859	ENST00000393600
ENSG00000077463	ENST00000337491
ENSG00000198918	ENST00000361575
ENSG00000125351	ENST00000276201
ENSG00000159346	ENST00000340990
ENSG00000131469	ENST00000253788
ENSG00000090863	ENST00000205061
ENSG00000160193	ENST00000330317
ENSG00000159348	ENST00000367249
ENSG00000102178	ENST00000369660
ENSG00000119041	ENST00000263956
ENSG00000134602	ENST00000394334
ENSG00000024048	ENST00000372899
ENSG00000108828	ENST00000355653
ENSG00000105248	ENST00000262962
ENSG00000160194	ENST00000354250
ENSG00000125691	ENST00000479035
ENSG00000125352	ENST00000371442
ENSG00000125356	ENST00000371437
ENSG00000103194	ENST00000219473
ENSG00000140374	ENST00000557943
ENSG00000173638	ENST00000311124
ENSG00000168411	ENST00000361070
ENSG00000076770	ENST00000370853
ENSG00000123728	ENST00000342983
ENSG00000175221	ENST00000325464
ENSG00000112695	ENST00000370089
ENSG00000103876	ENST00000561421
ENSG00000072682	ENST00000166534
ENSG00000164466	ENST00000321442
ENSG00000011451	ENST00000263381
ENSG00000180992	ENST00000372014
ENSG00000112697	ENST00000230461
ENSG00000159388	ENST00000290551
ENSG00000136463	ENST00000258975
ENSG00000198858	ENST00000361574
ENSG00000117899	ENST00000261758
ENSG00000186283	ENST00000367627
ENSG00000171004	ENST00000521489
ENSG00000079246	ENST00000392133
ENSG00000058668	ENST00000357681
ENSG00000198231	ENST00000583590
ENSG00000131153	ENST00000253462
ENSG00000131149	ENST00000253458
ENSG00000108588	ENST00000225726
ENSG00000076716	ENST00000370828
ENSG00000170085	ENST00000443967
ENSG00000175416	ENST00000310418
ENSG00000146066	ENST00000274787
ENSG00000113194	ENST00000261942
ENSG00000169258	ENST00000303991
ENSG00000167460	ENST00000344824
ENSG00000113761	ENST00000358149
ENSG00000167461	ENST00000300935
ENSG00000105058	ENST00000263384
ENSG00000165671	ENST00000439151
ENSG00000072958	ENST00000444449
ENSG00000169230	ENST00000303204
ENSG00000029363	ENST00000531224
ENSG00000108592	ENST00000427159
ENSG00000087191	ENST00000310144
ENSG00000169223	ENST00000303127
ENSG00000135525	ENST00000617204
ENSG00000108604	ENST00000448276
ENSG00000127527	ENST00000248070
ENSG00000113758	ENST00000309007
ENSG00000094880	ENST00000394886
ENSG00000115271	ENST00000437150
ENSG00000196504	ENST00000410080
ENSG00000104904	ENST00000602676
ENSG00000160131	ENST00000330374
ENSG00000137207	ENST00000372422
ENSG00000022267	ENST00000394155
ENSG00000112983	ENST00000254900
ENSG00000143149	ENST00000354775
ENSG00000181026	ENST00000332810
ENSG00000156697	ENST00000394422
ENSG00000135316	ENST00000369622
ENSG00000182149	ENST00000329908
ENSG00000109084	ENST00000226230
ENSG00000119820	ENST00000238831
ENSG00000110172	ENST00000320585
ENSG00000071564	ENST00000588136
ENSG00000105229	ENST00000262971
ENSG00000116752	ENST00000369541
ENSG00000237190	ENST00000458198
ENSG00000119048	ENST00000265339
ENSG00000102172	ENST00000404933
ENSG00000061936	ENST00000261674
ENSG00000130821	ENST00000253122
ENSG00000075399	ENST00000389386
ENSG00000112208	ENST00000370693
ENSG00000108774	ENST00000547517
ENSG00000167110	ENST00000421699
ENSG00000141756	ENST00000321562
ENSG00000137812	ENST00000399668
ENSG00000117139	ENST00000367265
ENSG00000062485	ENST00000351328
ENSG00000136371	ENST00000258874
ENSG00000173801	ENST00000393931
ENSG00000159593	ENST00000290810
ENSG00000187325	ENST00000341864
ENSG00000136444	ENST00000258955
ENSG00000185236	ENST00000328024
ENSG00000135250	ENST00000393651
ENSG00000183853	ENST00000359209
ENSG00000114742	ENST00000302313
ENSG00000078369	ENST00000378609
ENSG00000114850	ENST00000265044
ENSG00000132591	ENST00000254928
ENSG00000072571	ENST00000393915
ENSG00000136636	ENST00000259154
ENSG00000176903	ENST00000316836
ENSG00000184428	ENST00000329245
ENSG00000132478	ENST00000589666
ENSG00000101191	ENST00000395343
ENSG00000145386	ENST00000274026
ENSG00000132475	ENST00000254810
ENSG00000168291	ENST00000302746
ENSG00000176102	ENST00000323959
ENSG00000185651	ENST00000342192
ENSG00000130560	ENST00000371756
ENSG00000141522	ENST00000269321
ENSG00000161179	ENST00000292778
ENSG00000124214	ENST00000371856
ENSG00000169957	ENST00000380412
ENSG00000099783	ENST00000325495
ENSG00000084070	ENST00000372718
ENSG00000091542	ENST00000399138
ENSG00000122687	ENST00000242257
ENSG00000108591	ENST00000225729
ENSG00000148730	ENST00000373218
ENSG00000080824	ENST00000334701
ENSG00000100749	ENST00000216639
ENSG00000115091	ENST00000263238
ENSG00000068366	ENST00000340800
ENSG00000091483	ENST00000366560
ENSG00000038274	ENST00000321757
ENSG00000161011	ENST00000389805
ENSG00000142444	ENST00000270502
ENSG00000151348	ENST00000395673
ENSG00000144713	ENST00000396953
ENSG00000136108	ENST00000378037
ENSG00000092531	ENST00000249647
ENSG00000047579	ENST00000344537
ENSG00000112306	ENST00000230050
ENSG00000205155	ENST00000587708
ENSG00000197226	ENST00000356834
ENSG00000132824	ENST00000255175
ENSG00000075945	ENST00000361580
ENSG00000008294	ENST00000262013
ENSG00000120158	ENST00000381750
ENSG00000155876	ENST00000380527
ENSG00000156875	ENST00000370152
ENSG00000161013	ENST00000292591
ENSG00000103653	ENST00000439220
ENSG00000115524	ENST00000335508
ENSG00000271601	ENST00000604000
ENSG00000141552	ENST00000357385
ENSG00000099194	ENST00000370355
ENSG00000135763	ENST00000258243
ENSG00000004975	ENST00000005340
ENSG00000156030	ENST00000394071
ENSG00000184117	ENST00000216121
ENSG00000112378	ENST00000421351
ENSG00000198862	ENST00000614971
ENSG00000130816	ENST00000359526
ENSG00000149932	ENST00000279396
ENSG00000166788	ENST00000524803
ENSG00000100296	ENST00000397871
ENSG00000198604	ENST00000360310
ENSG00000128654	ENST00000249442
ENSG00000215305	ENST00000380445
ENSG00000092094	ENST00000206542
ENSG00000109016	ENST00000395511
ENSG00000198816	ENST00000597229
ENSG00000112531	ENST00000361752
ENSG00000100207	ENST00000359486
ENSG00000132471	ENST00000254806
ENSG00000151500	ENST00000392594
ENSG00000100528	ENST00000216416
ENSG00000156876	ENST00000287482
ENSG00000147140	ENST00000373841
ENSG00000165119	ENST00000376263
ENSG00000214753	ENST00000301785
ENSG00000013374	ENST00000568733
ENSG00000171720	ENST00000305264
ENSG00000135540	ENST00000343505
ENSG00000171603	ENST00000377298
ENSG00000130202	ENST00000252483
ENSG00000136021	ENST00000360820
ENSG00000051620	ENST00000607197
ENSG00000100883	ENST00000556994
ENSG00000086598	ENST00000262225
ENSG00000130204	ENST00000426677
ENSG00000185187	ENST00000332725
ENSG00000141569	ENST00000269383
ENSG00000183258	ENST00000507955
ENSG00000258315	ENST00000546495
ENSG00000083312	ENST00000506351
ENSG00000204316	ENST00000309352
ENSG00000161970	ENST00000648839
ENSG00000110651	ENST00000263645
ENSG00000157800	ENST00000326232
ENSG00000111707	ENST00000543473
ENSG00000104765	ENST00000380629
ENSG00000108639	ENST00000225777
ENSG00000049656	ENST00000320895
ENSG00000104853	ENST00000337392
ENSG00000100916	ENST00000216807
ENSG00000167900	ENST00000301634
ENSG00000117597	ENST00000491415
ENSG00000142684	ENST00000374266
ENSG00000165661	ENST00000358701
ENSG00000153879	ENST00000585933
ENSG00000144224	ENST00000272638
ENSG00000108465	ENST00000338399
ENSG00000040633	ENST00000320316
ENSG00000189060	ENST00000340857
ENSG00000183077	ENST00000409257
ENSG00000167085	ENST00000300408
ENSG00000111371	ENST00000546893
ENSG00000167815	ENST00000301522
ENSG00000128228	ENST00000248958
ENSG00000115520	ENST00000263960
ENSG00000130479	ENST00000324096
ENSG00000066654	ENST00000396083
ENSG00000166224	ENST00000373202
ENSG00000104889	ENST00000221486
ENSG00000100116	ENST00000248924
ENSG00000196199	ENST00000361479
ENSG00000100023	ENST00000398831
ENSG00000171223	ENST00000302754
ENSG00000183684	ENST00000505490
ENSG00000101365	ENST00000380843
ENSG00000124541	ENST00000244496
ENSG00000154978	ENST00000285279
ENSG00000124299	ENST00000244137
ENSG00000049618	ENST00000346085
ENSG00000160208	ENST00000340648
ENSG00000143384	ENST00000369026
ENSG00000140988	ENST00000343262
ENSG00000121390	ENST00000619300
ENSG00000163050	ENST00000366777
ENSG00000102390	ENST00000373358
ENSG00000038358	ENST00000358933
ENSG00000025796	ENST00000369002
ENSG00000069188	ENST00000392650
ENSG00000117906	ENST00000394885
ENSG00000104859	ENST00000221455
ENSG00000119408	ENST00000373600
ENSG00000099956	ENST00000644036
ENSG00000044115	ENST00000302763
ENSG00000132589	ENST00000394908
ENSG00000139842	ENST00000375440
ENSG00000103043	ENST00000261776
ENSG00000120686	ENST00000239878
ENSG00000108439	ENST00000642017
ENSG00000005436	ENST00000321027
ENSG00000172809	ENST00000439590
ENSG00000111642	ENST00000544040
ENSG00000109685	ENST00000508803
ENSG00000166483	ENST00000450114
ENSG00000108654	ENST00000225792
ENSG00000115947	ENST00000264169
ENSG00000270757	ENST00000604458
ENSG00000105705	ENST00000247001
ENSG00000173692	ENST00000308696
ENSG00000115364	ENST00000393909
ENSG00000144381	ENST00000388968
ENSG00000142252	ENST00000591747
ENSG00000138686	ENST00000264499
ENSG00000114346	ENST00000540509
ENSG00000127054	ENST00000435064
ENSG00000165502	ENST00000298289
ENSG00000107290	ENST00000224140
ENSG00000166037	ENST00000325542
ENSG00000091527	ENST00000264993
ENSG00000129933	ENST00000262815
ENSG00000113269	ENST00000521389
ENSG00000108055	ENST00000361804
ENSG00000174547	ENST00000310999
