gene_id	log2foldchange	group
ENSG00000198815	0.025753501484902	TIS genes N = 413
ENSG00000100372	-0.700183199210711	TIS genes N = 413
ENSG00000116717	0.842016739808923	TIS genes N = 413
ENSG00000147642	-0.19813328541758	TIS genes N = 413
ENSG00000109576	0.042092419702616	TIS genes N = 413
ENSG00000080839	-0.069419937752453	TIS genes N = 413
ENSG00000111011	0.256228279519998	TIS genes N = 413
ENSG00000104643	-0.637458339722008	TIS genes N = 413
ENSG00000108061	-0.436440423141397	TIS genes N = 413
ENSG00000174579	0.48553562098266	TIS genes N = 413
ENSG00000132664	-0.078414744070109	TIS genes N = 413
ENSG00000145388	0.539663538678915	TIS genes N = 413
ENSG00000165244	0.467859798741393	TIS genes N = 413
ENSG00000116095	0.135841984431542	TIS genes N = 413
ENSG00000149308	0.339843984102386	TIS genes N = 413
ENSG00000171132	-0.273223282517248	TIS genes N = 413
ENSG00000137770	-0.206907257145363	TIS genes N = 413
ENSG00000173848	-0.481444121066505	TIS genes N = 413
ENSG00000089876	-0.319050799613597	TIS genes N = 413
ENSG00000110851	-0.215692193488039	TIS genes N = 413
ENSG00000115526	-0.194830325006066	TIS genes N = 413
ENSG00000101412	-0.463189771050742	TIS genes N = 413
ENSG00000165660	0.482226373617052	TIS genes N = 413
ENSG00000019995	-0.134263463066394	TIS genes N = 413
ENSG00000102781	0.152531109389906	TIS genes N = 413
ENSG00000136603	0.363698072350539	TIS genes N = 413
ENSG00000070413	0.14919230858373	TIS genes N = 413
ENSG00000088448	-0.228159141469138	TIS genes N = 413
ENSG00000152749	-0.321530536624089	TIS genes N = 413
ENSG00000095015	-0.176595020188211	TIS genes N = 413
ENSG00000108256	0.520886536374624	TIS genes N = 413
ENSG00000093000	0.087260730949112	TIS genes N = 413
ENSG00000135945	-0.434931301204249	TIS genes N = 413
ENSG00000181938	0.235115512773566	TIS genes N = 413
ENSG00000136122	-0.194296250824652	TIS genes N = 413
ENSG00000088179	-0.295348947572256	TIS genes N = 413
ENSG00000130540	0.409010251843909	TIS genes N = 413
ENSG00000115421	-0.448579896155277	TIS genes N = 413
ENSG00000143093	-0.280296951728904	TIS genes N = 413
ENSG00000068354	0.400267277782931	TIS genes N = 413
ENSG00000132740	0.071333253562192	TIS genes N = 413
ENSG00000183735	-0.362282042105328	TIS genes N = 413
ENSG00000132952	0.60671328306043	TIS genes N = 413
ENSG00000156976	0.287218977291782	TIS genes N = 413
ENSG00000187147	0.113310992635268	TIS genes N = 413
ENSG00000083093	-1.173533396501606	TIS genes N = 413
ENSG00000115507	1.070619356275081	TIS genes N = 413
ENSG00000163909	0.370401318417206	TIS genes N = 413
ENSG00000164056	0.549093617805928	TIS genes N = 413
ENSG00000175104	0.752750404122019	TIS genes N = 413
ENSG00000185436	-0.379860480711897	TIS genes N = 413
ENSG00000171241	-0.511969762840577	TIS genes N = 413
ENSG00000264522	0.180551501499337	TIS genes N = 413
ENSG00000123358	0.029151066991481	TIS genes N = 413
ENSG00000141026	0.741618666864134	TIS genes N = 413
ENSG00000100376	0.468099293437953	TIS genes N = 413
ENSG00000133731	-0.576090302919225	TIS genes N = 413
ENSG00000054967	-0.089241273658322	TIS genes N = 413
ENSG00000112242	-0.00646883642461	TIS genes N = 413
ENSG00000122482	-0.103939987000692	TIS genes N = 413
ENSG00000118007	-0.00690006625813	TIS genes N = 413
ENSG00000110721	-0.063664895407493	TIS genes N = 413
ENSG00000003756	0.184274891580404	TIS genes N = 413
ENSG00000051382	0.101170453822222	TIS genes N = 413
ENSG00000174010	0.423965974466003	TIS genes N = 413
ENSG00000096070	-0.304874815239264	TIS genes N = 413
ENSG00000164366	-0.84419866062081	TIS genes N = 413
ENSG00000118454	0.263791099582611	TIS genes N = 413
ENSG00000197024	-0.104584900686155	TIS genes N = 413
ENSG00000182704	0.635049722482416	TIS genes N = 413
ENSG00000173334	0.865288601497857	TIS genes N = 413
