ENSEMBL Gene ID	Gene symbol	siUPF1LL vs NT log2(fold change)	False discovery rate (FDR)
ENSG00000000003	TSPAN6	-0.295276653	1.46704E-05
ENSG00000000419	DPM1	-0.26347237	0.002096164
ENSG00000000457	SCYL3	0.189404444	0.064503706
ENSG00000000460	C1orf112	-0.404302241	1.61874E-05
ENSG00000001036	FUCA2	-0.140238718	0.010131219
ENSG00000001084	GCLC	-0.052552743	0.496279468
ENSG00000001167	NFYA	0.012902897	0.899617937
ENSG00000001460	STPG1	0.000667469	0.995997521
ENSG00000001461	NIPAL3	0.105540768	0.141340285
ENSG00000001497	LAS1L	-0.673218139	4.12E-09
ENSG00000001561	ENPP4	0.245749015	0.036051878
ENSG00000001617	SEMA3F	0.706611337	0.000310201
ENSG00000001629	ANKIB1	0.053720947	0.446464707
ENSG00000001630	CYP51A1	-0.378879519	0.005465989
ENSG00000001631	KRIT1	-0.029257967	0.663279181
ENSG00000002016	RAD52	-0.023915623	0.845505173
ENSG00000002330	BAD	0.596304137	2.85E-06
ENSG00000002549	LAP3	-0.344937795	1.41969E-05
ENSG00000002586	CD99	0.295266326	3.25472E-05
ENSG00000002822	MAD1L1	-0.064278653	0.404287903
ENSG00000002834	LASP1	0.93089608	7.79E-11
ENSG00000002919	SNX11	-0.093645661	0.401199156
ENSG00000003056	M6PR	-0.342547204	2.46385E-05
ENSG00000003096	KLHL13	-0.01606202	0.881637252
ENSG00000003137	CYP26B1	-0.549267038	0.011082274
ENSG00000003147	ICA1	0.782166685	8.23878E-05
ENSG00000003249	DBNDD1	-0.331704834	0.000750748
ENSG00000003393	ALS2	0.381143802	5.93E-06
ENSG00000003400	CASP10	-0.040115356	0.671747963
ENSG00000003402	CFLAR	0.291326788	0.003548602
ENSG00000003436	TFPI	-0.776690688	5.39769E-05
ENSG00000003509	NDUFAF7	-0.145681711	0.111838939
ENSG00000003756	RBM5	-0.236354486	0.000873608
ENSG00000003987	MTMR7	-0.016747982	0.95287313
ENSG00000003989	SLC7A2	-1.291967942	2.96E-12
ENSG00000004059	ARF5	0.120007673	0.053507176
ENSG00000004139	SARM1	-0.593808225	0.000627251
ENSG00000004142	POLDIP2	-0.263396518	2.76689E-05
ENSG00000004399	PLXND1	0.196223301	0.203768245
ENSG00000004455	AK2	-0.309229102	5.57E-06
ENSG00000004478	FKBP4	-0.608395555	4.18E-10
ENSG00000004487	KDM1A	-0.431856065	9.34E-08
ENSG00000004534	RBM6	0.171721091	0.009659532
ENSG00000004660	CAMKK1	0.213964918	0.078475994
ENSG00000004700	RECQL	0.035532548	0.611039463
ENSG00000004766	CCDC132	-0.038241299	0.573060109
ENSG00000004777	ARHGAP33	0.315092803	0.143724667
ENSG00000004779	NDUFAB1	0.059299898	0.347271602
ENSG00000004799	PDK4	0.873554361	0.003792013
ENSG00000004864	SLC25A13	-0.447698424	2.60E-07
ENSG00000004866	ST7	0.093817739	0.348504103
ENSG00000004897	CDC27	-0.957410847	1.27E-11
ENSG00000004961	HCCS	-0.268066594	0.004701948
ENSG00000004975	DVL2	0.004899161	0.948171044
ENSG00000005007	UPF1	-0.030073092	0.567646899
ENSG00000005020	SKAP2	0.643629854	1.33E-07
ENSG00000005022	SLC25A5	-0.401644731	8.38E-08
ENSG00000005059	CCDC109B	0.186543126	0.030532659
ENSG00000005073	HOXA11	-1.004813214	6.66E-10
ENSG00000005075	POLR2J	0.008762067	0.926009614
ENSG00000005100	DHX33	-0.355822397	0.000423115
ENSG00000005156	LIG3	-0.070132631	0.226508786
ENSG00000005175	RPAP3	-0.083518449	0.228134171
ENSG00000005187	ACSM3	-0.302310596	0.272426978
ENSG00000005189	AC004381.6	0.007794684	0.951125732
ENSG00000005194	CIAPIN1	-0.350500448	4.79E-06
ENSG00000005206	SPPL2B	-0.136187478	0.165855006
ENSG00000005238	FAM214B	0.558671717	0.00305687
ENSG00000005249	PRKAR2B	0.322663103	0.011983645
ENSG00000005302	MSL3	-0.18096497	0.02244669
ENSG00000005339	CREBBP	0.521210997	2.67E-07
ENSG00000005436	GCFC2	-0.215938643	0.005534875
ENSG00000005448	WDR54	0.390067948	0.000198589
ENSG00000005469	CROT	-0.462326549	0.000375714
ENSG00000005471	ABCB4	-0.775758033	0.047386736
ENSG00000005483	KMT2E	0.591941903	9.57E-08
ENSG00000005486	RHBDD2	-0.147002466	0.070508563
ENSG00000005513	SOX8	0.14612023	0.388501771
ENSG00000005700	IBTK	0.018101596	0.783259012
ENSG00000005801	ZNF195	0.036614695	0.63202993
ENSG00000005810	MYCBP2	0.224215187	0.00159143
ENSG00000005812	FBXL3	0.069409306	0.336811699
ENSG00000005882	PDK2	0.68987992	3.00E-07
ENSG00000005884	ITGA3	1.205051624	1.24E-07
ENSG00000005889	ZFX	0.026161744	0.65345075
ENSG00000005893	LAMP2	0.413098964	8.38E-07
ENSG00000005955	GGNBP2	0.266579566	0.001098759
ENSG00000005961	ITGA2B	0.968150516	0.00013908
ENSG00000006007	GDE1	0.782223547	1.42E-10
ENSG00000006015	C19orf60	0.573110223	1.13254E-05
ENSG00000006016	CRLF1	0.219762551	0.468634751
ENSG00000006025	OSBPL7	1.379886993	8.01E-07
ENSG00000006042	TMEM98	-0.073877398	0.331112598
ENSG00000006062	MAP3K14	0.535173241	0.009619615
ENSG00000006071	ABCC8	0.496419408	0.034590213
ENSG00000006114	SYNRG	0.369970777	0.002845701
ENSG00000006118	TMEM132A	-0.03287222	0.654710803
ENSG00000006125	AP2B1	0.422589849	3.54E-06
ENSG00000006194	ZNF263	-0.298325204	0.000319988
ENSG00000006282	SPATA20	0.591655509	7.97E-06
ENSG00000006327	TNFRSF12A	-0.369490289	0.002945526
ENSG00000006377	DLX6	-0.245292075	0.308407389
ENSG00000006432	MAP3K9	0.160730896	0.037436845
ENSG00000006451	RALA	0.22077012	0.014953388
ENSG00000006453	BAIAP2L1	-0.362867649	0.00052718
ENSG00000006459	KDM7A	-0.387108995	8.23878E-05
ENSG00000006468	ETV1	0.37428825	0.028754811
ENSG00000006530	AGK	0.203232071	0.001706285
ENSG00000006576	PHTF2	-0.756158953	7.06E-09
ENSG00000006607	FARP2	-0.540256327	3.57E-08
ENSG00000006625	GGCT	0.157706764	0.042738732
ENSG00000006634	DBF4	0.102732417	0.093430756
ENSG00000006652	IFRD1	-0.575857439	5.73E-08
ENSG00000006695	COX10	-0.121686575	0.123127709
ENSG00000006704	GTF2IRD1	0.177081547	0.087207026
ENSG00000006712	PAF1	-0.126851883	0.038979286
ENSG00000006715	VPS41	0.179388717	0.003968127
ENSG00000006740	ARHGAP44	-0.365277736	0.002515448
ENSG00000006744	ELAC2	-0.122803406	0.024265751
ENSG00000006747	SCIN	-0.72100135	0.041752374
ENSG00000006831	ADIPOR2	0.398138826	1.73E-06
ENSG00000007047	MARK4	0.234758676	0.00683656
ENSG00000007080	CCDC124	-0.056477631	0.497245683
ENSG00000007168	PAFAH1B1	0.386316966	7.57E-07
ENSG00000007171	NOS2	-0.280690975	0.174581059
ENSG00000007202	KIAA0100	0.454106272	6.15E-08
ENSG00000007237	GAS7	0.39914749	0.011593053
ENSG00000007255	TRAPPC6A	0.305208198	0.040215277
ENSG00000007264	MATK	0.835455844	1.60E-07
ENSG00000007341	ST7L	-0.305700842	0.001971874
ENSG00000007372	PAX6	-0.135238349	0.092510255
ENSG00000007376	RPUSD1	-0.70609735	3.06E-08
ENSG00000007384	RHBDF1	0.85087446	1.19E-06
ENSG00000007392	LUC7L	-0.16653719	0.023832035
ENSG00000007402	CACNA2D2	0.891350497	3.05451E-05
ENSG00000007516	BAIAP3	0.524913075	0.029510762
ENSG00000007520	TSR3	-0.108908352	0.125872299
ENSG00000007541	PIGQ	0.262322232	0.003705826
ENSG00000007545	CRAMP1L	0.372602886	0.000190158
ENSG00000007866	TEAD3	0.671431263	9.89394E-05
ENSG00000007923	DNAJC11	-0.781252699	9.19E-10
ENSG00000007944	MYLIP	0.410747435	0.001493562
ENSG00000007968	E2F2	-0.44129474	9.76E-07
ENSG00000008018	PSMB1	0.270599274	7.1773E-06
ENSG00000008083	JARID2	0.016966358	0.82127965
ENSG00000008086	CDKL5	0.144187053	0.362429204
ENSG00000008128	CDK11A	0.109166914	0.788239828
ENSG00000008130	NADK	0.050227244	0.473781154
ENSG00000008256	CYTH3	0.333230179	0.000864183
ENSG00000008277	ADAM22	0.173364235	0.077396287
ENSG00000008282	SYPL1	0.938667999	3.33E-08
ENSG00000008283	CYB561	-0.567451341	6.52767E-05
ENSG00000008294	SPAG9	-0.054672381	0.290578507
ENSG00000008300	CELSR3	0.382682324	0.009557243
ENSG00000008311	AASS	-0.049406706	0.507249477
ENSG00000008324	SS18L2	-0.149566186	0.184425939
ENSG00000008382	MPND	0.505747315	0.004248903
ENSG00000008394	MGST1	-0.312091641	0.005755929
ENSG00000008405	CRY1	0.212591176	0.013601677
ENSG00000008441	NFIX	0.422746166	0.002298918
ENSG00000008513	ST3GAL1	-0.553360892	7.96353E-05
ENSG00000008710	PKD1	0.187995515	0.019972111
ENSG00000008735	MAPK8IP2	-0.356021125	0.000245785
ENSG00000008838	MED24	0.064654546	0.342997428
ENSG00000008853	RHOBTB2	0.227421582	0.070114854
ENSG00000008869	HEATR5B	-0.156311393	0.012038852
ENSG00000008952	SEC62	-0.345918117	0.000075481
ENSG00000008988	RPS20	-0.350326318	1.35E-06
ENSG00000009307	CSDE1	-0.081209646	0.038863582
ENSG00000009335	UBE3C	-1.190041157	2.46E-13
ENSG00000009413	REV3L	0.53261954	1.76E-07
ENSG00000009724	MASP2	-0.077078795	0.802200459
ENSG00000009780	FAM76A	-0.167097945	0.044940063
ENSG00000009790	TRAF3IP3	-0.043970005	0.828310557
ENSG00000009830	POMT2	-0.512370467	1.19E-06
ENSG00000009844	VTA1	-0.244972749	0.000417533
ENSG00000009950	MLXIPL	0.323255068	0.180257783
ENSG00000009954	BAZ1B	-0.179060233	0.000884362
ENSG00000010017	RANBP9	-0.771392493	4.13E-08
ENSG00000010072	SPRTN	-0.241948214	0.001096576
ENSG00000010165	METTL13	-0.556286495	5.63E-07
ENSG00000010219	DYRK4	-0.102266384	0.354371202
ENSG00000010244	ZNF207	-0.039278053	0.455811395
ENSG00000010256	UQCRC1	0.472635555	3.67E-08
ENSG00000010270	STARD3NL	0.206526338	0.004782553
ENSG00000010278	CD9	0.605027583	5.27E-07
ENSG00000010292	NCAPD2	-0.069586582	0.206383979
ENSG00000010295	IFFO1	0.50154242	0.000017847
ENSG00000010318	PHF7	0.413818167	0.007152881
ENSG00000010319	SEMA3G	1.708012563	1.62E-08
ENSG00000010322	NISCH	0.367093157	1.12465E-05
ENSG00000010361	FUZ	-0.202855801	0.018831898
ENSG00000010404	IDS	0.59067469	2.43E-06
ENSG00000010539	ZNF200	-0.585217522	9.76E-07
ENSG00000010626	LRRC23	0.528735134	0.007373469
ENSG00000010803	SCMH1	0.051880561	0.513109013
ENSG00000010810	FYN	0.231683205	0.000342181
ENSG00000010818	HIVEP2	0.173140175	0.035233149
ENSG00000011007	TCEB3	-0.042738701	0.403604193
ENSG00000011009	LYPLA2	-0.181650804	0.042176335
