"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000007174-n",0.336472704434706,-2.08888066380196,4.97668902866279,-0.419733009591567,0.674680507890571,NA
"ENSG00000007174-l",0,NA,NA,NA,NA,NA
"ENSG00000007174-c",0.383336843857979,1.62799498177738,4.868416544539,0.334399278879194,0.738078283490262,NA
"ENSG00000121774-n",8.46100533416217,1.11273014716008,1.10315157912117,1.00868291195897,0.313126729527963,NA
"ENSG00000132749-n",5.13808017648994,-0.691025188359676,1.4125083349634,-0.489218485480713,0.624687023688418,NA
"ENSG00000130684-l",253.048107991382,-0.15008273809775,0.341239666724793,-0.439816213449742,0.660070223744201,0.987234593491482
"ENSG00000124333-c",7.81206820588714,0.453302199353153,1.13015592456023,0.401097042896574,0.688348677918269,NA
"ENSG00000100325-c",90.4128121105714,-0.322734963610805,0.40818214326753,-0.790664091837252,0.429140035420459,NA
"ENSG00000100325-l",34.9501259994027,0.170284196093513,0.569330991690785,0.299095251406931,0.76486736937309,NA
"ENSG00000188452-n",0,NA,NA,NA,NA,NA
"ENSG00000130684-c",10.4375493083985,-0.924102329846533,0.921783718329952,-1.00251535308172,0.316094755195136,NA
"ENSG00000094963-l",0,NA,NA,NA,NA,NA
"ENSG00000116497-c",62.3629321659359,-0.593310313677513,0.470701417215723,-1.26048125622192,0.207495805386453,NA
"ENSG00000163060-c",0.112691597821183,0.737585960572555,4.95638834645022,0.148815207569604,0.881699450357685,NA
"ENSG00000146285-l",0,NA,NA,NA,NA,NA
"ENSG00000163060-l",0.336472704434706,-2.08888066380196,4.97668902866279,-0.419733009591567,0.674680507890571,NA
"ENSG00000163060-n",0,NA,NA,NA,NA,NA
"ENSG00000116497-n",157.970299436671,0.315960253139681,0.38659920174386,0.817281183495613,0.413767757377398,0.981240014000534
"ENSG00000071859-c",18.1346253874314,0.0309446423084462,0.782352758154052,0.0395533114518055,0.968449250349411,NA
"ENSG00000116497-l",34.8715109997887,-0.325224671685112,0.599819038050563,-0.542204650159331,0.587677532209451,NA
"ENSG00000196470-c",0,NA,NA,NA,NA,NA
"ENSG00000146576-n",42.0983493592696,-0.30616477492115,0.539396427576904,-0.567606234057787,0.570302373142937,NA
"ENSG00000048828-c",203.326512180092,-0.103788413278829,0.35089945430233,-0.295778212266487,0.767399463008964,0.987234593491482
"ENSG00000048828-l",102.702352246891,-0.261356115713882,0.405343703593786,-0.644776552334953,0.519071999024183,NA
"ENSG00000048828-n",33.1607750318096,0.514900975952825,0.643141511751475,0.800602925708509,0.423361556451813,NA
"ENSG00000196470-l",19.6688940554836,-0.32306951421071,0.711643517712044,-0.453976613528904,0.64984565932989,NA
"ENSG00000162976-c",1.98157885764846,-3.31628166340056,2.24439125213273,-1.47758625429023,0.139518555772174,NA
"ENSG00000158055-l",4.50010744946446,-0.862341790968332,1.36244890783518,-0.632935140546681,0.526775998869177,NA
"ENSG00000171960-l",4.87543961188779,-0.714621484410688,1.35138074486619,-0.528808396246204,0.596938372652537,NA
"ENSG00000158055-c",2.84265009320045,-2.08332419179903,1.80262728439551,-1.15571544369342,0.247797569060712,NA
"ENSG00000162976-l",2.61019503616279,0.653779594788954,1.89925915102757,0.344228745421726,0.730674266051289,NA
"ENSG00000168944-n",4.14467142605512,0.0978452004075503,1.39416865837689,0.0701817529892426,0.944048997514992,NA
"ENSG00000146576-c",46.2098697942358,-0.751764426699378,0.501730737935319,-1.49834237741338,0.134044319183002,NA
"ENSG00000168944-c",123.382802594477,-0.0714253148380241,0.409832095145774,-0.174279456597021,0.861645843430991,NA
"ENSG00000256525-c",45.9198537096064,0.0727130154140264,0.516780065871791,0.140703986504127,0.888103795655372,NA
"ENSG00000155666-n",0.982909858365753,1.31231135823713,2.89682431203685,0.453017241254236,0.650536326521904,NA
"ENSG00000256525-l",7.3459617207226,-0.694562422686478,1.12696845185831,-0.61631044022677,0.537689649638411,NA
"ENSG00000256525-n",9.6137412055158,-0.0150377704517743,0.978757880100994,-0.0153641372984119,0.98774167433812,NA
"ENSG00000143486-c",59.1161220335337,-0.609209611330431,0.480366961709969,-1.26821713375503,0.204720419977362,NA
"ENSG00000141569-l",120.820480066108,-0.2449200060868,0.434675868151164,-0.563454343873595,0.573125540981751,NA
"ENSG00000141569-n",2.61932873205785,-1.15750162614524,3.79224457905931,-0.305228632282038,0.760192026832472,NA
"ENSG00000141569-c",6.4017017968269,0.33537319000179,1.1461725596926,0.292602703812536,0.769825846839163,NA
"ENSG00000143486-l",12.9048863319826,0.00869494204729542,0.828641254866476,0.0104930112955775,0.991627941923061,NA
"ENSG00000143507-c",3.5748108445434,0.0248783131310316,1.48450545679719,0.0167586538783807,0.986629154686041,NA
"ENSG00000166803-l",7.82302684342713,-0.0632645802498346,1.03850785662003,-0.0609187305098855,0.951423932359435,NA
"ENSG00000197181-l",8.55178722229132,2.10636931173934,1.18890271965376,1.77169189448298,0.0764457158914029,NA
"ENSG00000169807-c",0,NA,NA,NA,NA,NA
"ENSG00000169807-l",0,NA,NA,NA,NA,NA
"ENSG00000197181-c",4.00501182782465,0.764265136718622,1.4356384905965,0.532352080084642,0.594482167850544,NA
"ENSG00000166803-c",30.8049840115988,-0.508275030419448,0.670751558793808,-0.757769436024067,0.448589022581474,NA
"ENSG00000143507-n",7.44931009913015,1.00263555893454,1.10555101818838,0.906910257816517,0.36445425621067,NA
"ENSG00000143507-l",5.31204318757485,-0.434054512805479,1.24871350029333,-0.347601361484053,0.728139583657212,NA
"ENSG00000170043-c",7.84679066577873,-0.973852147895241,1.04085413264072,-0.935627882289813,0.349464813608566,NA
