"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000007174-n",0,NA,NA,NA,NA,NA
"ENSG00000007174-l",0,NA,NA,NA,NA,NA
"ENSG00000007174-c",0.332023550310855,1.23408954505039,4.92398852123439,0.250628030453048,0.802101708086557,NA
"ENSG00000121774-n",7.60665535782758,0.961739479759706,1.16152693707861,0.827995846724489,0.407672852011544,NA
"ENSG00000132749-n",1.62033125823047,3.74877596804214,2.60197495684019,1.44074252451477,0.149657436373644,NA
"ENSG00000130684-l",236.799784280462,-0.330209545819099,0.291282070112023,-1.13364185338323,0.256944809363218,0.644420442551743
"ENSG00000124333-c",6.6894737523432,0.550732426512,1.14044628313635,0.482909572029492,0.629159944978877,NA
"ENSG00000100325-c",59.8706062940023,0.496942872254405,0.440980522870307,1.12690435627371,0.259782921338679,0.647130756036337
"ENSG00000100325-l",27.5047219192796,0.487817804750831,0.678063450046583,0.719427960196525,0.471877274429702,0.799009590690272
"ENSG00000188452-n",0,NA,NA,NA,NA,NA
"ENSG00000130684-c",6.89558701433222,-0.248776368917369,1.11467090304241,-0.223183693266193,0.823392542768551,NA
"ENSG00000094963-l",0.356348496547976,-2.39660529680769,4.98880407993543,-0.480396756097648,0.630945300504768,NA
"ENSG00000116497-c",40.2888179878127,0.237633155265926,0.512980327239108,0.463240289437379,0.643192140220343,0.881590052589954
"ENSG00000163060-c",0.0991005929168934,0.350421737194343,4.95684784377261,0.0706944712121,0.943640921163167,NA
"ENSG00000146285-l",0,NA,NA,NA,NA,NA
"ENSG00000163060-l",0,NA,NA,NA,NA,NA
"ENSG00000163060-n",0,NA,NA,NA,NA,NA
"ENSG00000116497-n",151.712769558828,0.0176613417922624,0.341665135361804,0.0516919637514668,0.958774140677725,0.990910535374859
"ENSG00000071859-c",19.1373332967355,-0.463175610992605,0.775121541775486,-0.597552236687499,0.550138742289733,0.841433174513277
"ENSG00000116497-l",34.6251149241509,-0.659188721209647,0.58671570628579,-1.12352322282737,0.261215343356706,0.647493290684978
"ENSG00000196470-c",0.678659162735197,-3.34557892582901,3.60649979143967,-0.927652604824772,0.353587800876304,NA
"ENSG00000146576-n",27.4674396782675,0.558300446556394,0.612311228488115,0.911791945960094,0.361878250942475,0.734530912280278
"ENSG00000048828-c",140.028810591454,0.652635208408636,0.33913142834565,1.92443151492128,0.0543005173547703,0.321425443358973
"ENSG00000048828-l",79.9565658247991,0.0554259668734702,0.391123172876621,0.141709749554916,0.887309273633749,0.9687180900001
"ENSG00000048828-n",27.4232626528076,0.698726951717728,0.690973196576569,1.01122149915449,0.311910428111733,0.693795912531999
"ENSG00000196470-l",21.3964287717613,-0.869541662671338,0.680187721760491,-1.27838482650165,0.201113771482439,0.587357378241923
"ENSG00000162976-c",0.45544908946487,-1.13485776135944,4.25852981389471,-0.266490505163692,0.789861470892866,NA
"ENSG00000158055-l",3.71535546423336,-0.7481576928063,1.50216545365902,-0.498052788382207,0.618446835641825,NA
"ENSG00000171960-l",7.5951252995696,-1.84344392654512,1.11619771867173,-1.65153887676711,0.098628589213713,NA
"ENSG00000158055-c",2.07603136332519,-1.81566201697566,2.07597124883317,-0.874608460014162,0.381786983017794,NA
"ENSG00000162976-l",2.03709435497458,1.02293144412934,2.14293416962526,0.477350848490236,0.633112308065884,NA
"ENSG00000168944-n",3.21125648229424,0.491853111487172,1.61713552476549,0.304150829633464,0.761012983518314,NA
"ENSG00000146576-c",24.0291744453161,0.760559346382275,0.644446635155482,1.18017428425052,0.23793090461858,0.624693786421444
"ENSG00000168944-c",92.5365118461074,0.395633891294845,0.375526542349443,1.05354441478251,0.292091549460587,0.677973963426868
"ENSG00000256525-c",43.2679306773404,-0.133160051781411,0.506775801693112,-0.262759293826836,0.792736112118282,0.936793255475854
"ENSG00000155666-n",1.30798449179673,-0.11882891996106,2.4127896696319,-0.0492495974500706,0.960720386143821,NA
"ENSG00000256525-l",7.42099804434308,-1.00082250455008,1.134052414684,-0.882518736868926,0.37749635189881,NA
"ENSG00000256525-n",9.46342450287708,-0.324791061453091,0.988960403561034,-0.328416648718784,0.74259665660195,NA
"ENSG00000143486-c",38.4314503734198,0.191428201249461,0.517916783107548,0.369611890352104,0.711671690349881,0.910482323253557
"ENSG00000141569-l",106.698230922335,-0.268761424023888,0.419349012424787,-0.640901530850969,0.521586661199478,0.827056286595552
"ENSG00000141569-n",3.01795447445031,-1.51772885836082,1.76140552536201,-0.861657827517539,0.388875839039377,NA
"ENSG00000141569-c",8.50714034526832,-0.76418256404586,1.00104197348471,-0.763387134892733,0.445232550136174,NA
"ENSG00000143486-l",13.7724322016166,-0.513521641484407,0.804950229117982,-0.637954525520285,0.523503282400078,NA
"ENSG00000143507-c",9.17332474134437,-2.25030773081816,1.05008077392268,-2.14298536522281,0.0321142735249729,NA
"ENSG00000166803-l",9.48611418491957,-0.853364005082701,0.966135787833226,-0.883275431703611,0.377087474620108,NA
"ENSG00000197181-l",8.13979115411557,1.48282029191903,1.18459861638939,1.25174913376027,0.210661290298612,NA
"ENSG00000169807-c",0,NA,NA,NA,NA,NA
"ENSG00000169807-l",0,NA,NA,NA,NA,NA
"ENSG00000197181-c",4.35809051678332,0.0452917269947505,1.53437998606165,0.0295179338926353,0.976451515995319,NA
"ENSG00000166803-c",23.0167763961577,-0.0773379667760213,0.653525002365107,-0.118339721504357,0.905798485296177,0.974717935264364
"ENSG00000143507-n",14.5888615838235,-1.29164087460341,0.801207375774465,-1.61211805290096,0.106936253000524,NA
"ENSG00000143507-l",7.77338231973047,-1.60052154542781,1.07620165986154,-1.48719483078453,0.136963360934807,NA
"ENSG00000170043-c",10.3942504813138,-1.79087445370789,0.937068553268738,-1.91114561198416,0.0559858709643386,NA
"ENSG00000150768-n",2.17023277825223,1.08691038093303,1.99488641645459,0.544848253999714,0.585857887954893,NA
"ENSG00000213401-c",0,NA,NA,NA,NA,NA
"ENSG00000213401-l",0,NA,NA,NA,NA,NA
"ENSG00000170043-l",17.1413175971994,-0.138271676302172,0.739869111231422,-0.186886672525139,0.851749488882601,NA
"ENSG00000172578-l",0,NA,NA,NA,NA,NA
"ENSG00000183559-l",0,NA,NA,NA,NA,NA
"ENSG00000172578-n",0,NA,NA,NA,NA,NA
"ENSG00000183559-c",0,NA,NA,NA,NA,NA
"ENSG00000172578-c",0,NA,NA,NA,NA,NA
"ENSG00000076258-c",1.32809420124342,3.34028613748799,3.08530043384682,1.08264534009197,0.27896587423064,NA
"ENSG00000135862-c",371.184055216739,0.189939083417718,0.289793352334544,0.655429401287465,0.512191326892513,0.821425307320927
"ENSG00000116350-c",38.5275107357779,-1.17982982670914,0.527431102375389,-2.23693639111448,0.0252904976829809,0.215518200689175
"ENSG00000173145-l",73.0224419953539,-0.0199240029248816,0.412903885787466,-0.0482533674559243,0.961514318609115,0.991292268166692
"ENSG00000173145-c",92.3522969206503,-0.359795943444886,0.373371693148846,-0.963640120681168,0.335226384734503,0.711809872805347
"ENSG00000116350-l",248.943205994658,-1.20515809255835,0.301257388665029,-4.00042667135504,6.32283780210768e-05,0.00447114958863329
"ENSG00000135862-l",318.854158630303,-0.119347852124198,0.273536653363076,-0.436313929620915,0.662608976727754,0.890334379800009
"ENSG00000076258-n",0,NA,NA,NA,NA,NA
"ENSG00000135862-n",35.8678347362595,0.477994501959535,0.558277511774913,0.856195157207503,0.39188984084602,0.752903381915743
"ENSG00000076258-l",0.712696993095952,-3.40612870510882,3.82947591236971,-0.889450353795563,0.373761093428868,NA
"ENSG00000151689-l",11.3997830007401,-0.401891478012954,0.871659296102408,-0.461064867672491,0.644752066478895,NA
"ENSG00000006625-c",13.7315124753579,-2.11597188062727,0.844235018154236,-2.50637776818765,0.0121975222886766,NA
"ENSG00000173728-l",0.0991005929168934,0.350421737194343,4.95684784377261,0.0706944712121,0.943640921163167,NA
"ENSG00000173728-c",0,NA,NA,NA,NA,NA
"ENSG00000121053-n",0,NA,NA,NA,NA,NA
"ENSG00000006625-l",17.5708821965167,-0.78715843555892,0.728313463054466,-1.08079621686199,0.279787771677111,NA
"ENSG00000151689-c",15.015519474631,-0.192693526945166,0.799561437062798,-0.240999025231918,0.809555872014866,NA
"ENSG00000135829-c",573.382447615476,0.347519453201695,0.257717889072941,1.34844909079376,0.177513983790234,0.557055321238097
"ENSG00000147852-n",6.47485969642752,-0.18067403293357,1.14140460884529,-0.158290961446484,0.874227530074791,NA
"ENSG00000135829-l",91.6004380213117,-0.114173042423225,0.372692087371926,-0.306346837756409,0.759340580939439,0.926094538189128
"ENSG00000175573-c",0.0991005929168934,0.350421737194343,4.95684784377261,0.0706944712121,0.943640921163167,NA
"ENSG00000154274-c",0,NA,NA,NA,NA,NA
"ENSG00000154274-l",0.530224736144641,2.06425370994299,3.91642893142913,0.527075493028218,0.598141164472535,NA
"ENSG00000175573-l",7.44687278291876,0.843454494780478,1.10089160582436,0.766155805274663,0.443583601305669,NA
"ENSG00000183783-l",0,NA,NA,NA,NA,NA
"ENSG00000171517-n",8.14700953749948,1.01506917334565,1.08057560027291,0.939378210177317,0.347536596364358,NA
"ENSG00000183783-c",0,NA,NA,NA,NA,NA
