gene_id	gene_name	UPF1_log2FC	UPF1_padj	NBAS_log2FC	NBAS_padj	Frac-seq	APEX-seq	ER-RiboProf	ER-overlap
ENSG00000000003	TSPAN6	0.037993292	0.835412983	-6.91E-05	0.999862202	0	0	1	1
ENSG00000000005	TNMD	-0.004080258	NA	-0.002974883	NA	NA	NA	NA	NA
ENSG00000000419	DPM1	0.021486273	0.890135177	0.010755474	0.977145544	0	0	0	0
ENSG00000000457	SCYL3	0.297936197	0.03445889	0.19967292	0.280654386	0	0	0	0
ENSG00000000460	C1orf112	-0.296321568	0.012574535	-0.016370604	0.969242194	0	0	0	0
ENSG00000000938	FGR	0.018261149	NA	NA	NA	0	0	0	0
ENSG00000000971	CFH	0.046164251	NA	-0.017834855	NA	0	0	0	0
ENSG00000001036	FUCA2	0.050650212	0.60962519	-0.108646087	0.357763437	1	0	1	2
ENSG00000001084	GCLC	0.176213475	0.216641209	-0.035033777	0.936969938	0	1	0	1
ENSG00000001167	NFYA	0.052031515	0.743823921	-0.024279688	0.949893395	0	1	0	1
ENSG00000001460	STPG1	0.088542549	0.829755333	0.074019649	NA	0	0	0	0
ENSG00000001461	NIPAL3	0.310595049	0.014050488	0.11335653	0.686359381	0	1	0	1
ENSG00000001497	LAS1L	-0.182489332	0.00901408	-0.094766286	0.524047159	0	0	0	0
ENSG00000001617	SEMA3F	-0.74656231	4.26E-05	0.108949719	0.750159759	0	1	0	1
ENSG00000001626	CFTR	0.221822097	NA	-0.107054742	NA	0	0	0	0
ENSG00000001629	ANKIB1	0.243676278	0.079540562	0.07170667	0.822759393	0	0	0	0
ENSG00000001630	CYP51A1	-0.062859546	0.528781491	0.219918934	0.015300136	1	0	1	2
ENSG00000001631	KRIT1	0.074478479	0.595617024	0.14344263	0.422670453	0	0	0	0
ENSG00000002016	RAD52	0.268530812	0.192353418	0.116180811	0.719483498	0	0	0	0
ENSG00000002330	BAD	0.201815788	0.110702383	0.043840959	0.897560637	0	0	1	1
ENSG00000002549	LAP3	-0.299253702	0.002623249	-0.134459707	0.448187207	0	0	0	0
ENSG00000002586	CD99	-0.047810904	0.580809664	0.010678143	0.961104322	1	1	0	2
ENSG00000002587	HS3ST1	-0.287164355	0.423519405	0.01156436	NA	NA	NA	NA	NA
ENSG00000002726	AOC1	0.199732524	NA	0.084984412	NA	0	0	0	0
ENSG00000002745	WNT16	0.01973464	NA	0.016705478	NA	0	0	0	0
ENSG00000002746	HECW1	0.403372527	0.032638538	0.1376313	0.675027479	0	0	0	0
ENSG00000002822	MAD1L1	-0.467412847	0.000531933	-0.06256425	0.845830175	0	0	0	0
ENSG00000002834	LASP1	0.088674857	0.031289608	-0.101445015	0.103985849	0	1	0	1
ENSG00000002919	SNX11	0.904387725	1.01E-16	-0.069514885	0.832808545	0	0	0	0
ENSG00000003056	M6PR	0.149445562	0.184603129	0.014534362	0.968733907	1	1	1	3
ENSG00000003096	KLHL13	-0.104307114	0.338050533	0.145172713	0.306426759	0	0	0	0
ENSG00000003137	CYP26B1	0.172220112	0.491817147	0.052722852	0.90284645	0	0	0	0
ENSG00000003147	ICA1	0.331579434	0.174624148	0.358061124	0.062151064	0	0	0	0
ENSG00000003249	DBNDD1	0.074019744	0.649737916	-0.101057108	0.707338895	0	0	0	0
ENSG00000003393	ALS2	0.538606811	0.000931009	0.0505116	0.90284645	0	0	0	0
ENSG00000003400	CASP10	0.080908037	0.805328128	0.006308972	0.99120775	0	0	0	0
ENSG00000003402	CFLAR	0.053723043	0.72902242	-0.023217769	0.947998365	0	1	0	1
ENSG00000003436	TFPI	0.109427973	0.453869478	0.174734907	0.379979058	1	0	0	1
ENSG00000003509	NDUFAF7	0.413348573	0.000446323	0.004238583	0.994090257	0	1	0	1
ENSG00000003756	RBM5	-0.175579213	0.12994296	0.004386592	0.992595569	0	1	0	1
ENSG00000003987	MTMR7	0.109360752	0.727726661	-0.112927968	0.754524569	0	0	0	0
ENSG00000003989	SLC7A2	0.61804566	1.88E-32	0.338441902	1.38E-11	1	1	0	2
ENSG00000004059	ARF5	-0.258663056	0.000485711	-0.071941514	0.683680816	0	0	1	1
ENSG00000004139	SARM1	0.610129176	0.00081217	-0.144914395	0.653759447	0	1	0	1
ENSG00000004142	POLDIP2	-0.139680485	0.024254231	-0.126758802	0.18142511	0	0	1	1
ENSG00000004399	PLXND1	0.35086301	0.012092006	0.213674046	0.209084785	0	0	0	0
ENSG00000004455	AK2	-0.07071439	0.453869478	-0.165065149	0.07171451	0	0	0	0
ENSG00000004468	CD38	0.009726582	0.985021702	0.137398414	NA	0	0	0	0
ENSG00000004478	FKBP4	-0.119976128	0.122002136	-0.028980487	0.890879026	0	0	0	0
ENSG00000004487	KDM1A	-0.1901406	0.011076468	-0.161144016	0.04661534	0	0	0	0
ENSG00000004534	RBM6	-0.087755202	0.521975277	-0.024626623	0.949793948	0	0	0	0
ENSG00000004660	CAMKK1	0.391611615	0.007910235	-0.155689613	0.533894641	0	1	0	1
ENSG00000004700	RECQL	-0.077408341	0.686644288	0.105211873	0.647300443	0	1	0	1
ENSG00000004766	VPS50	0.196743833	0.13420197	-0.059521329	0.852571836	0	0	0	0
ENSG00000004776	HSPB6	-0.161684263	NA	-0.036121008	NA	0	0	0	0
ENSG00000004777	ARHGAP33	-0.609982783	0.010391669	0.028188126	0.955460187	0	1	0	1
ENSG00000004779	NDUFAB1	-0.108973576	0.2934716	-0.150420784	0.296227462	0	0	1	1
ENSG00000004799	PDK4	0.362354543	2.06E-06	0.434337478	8.18E-07	0	0	0	0
ENSG00000004838	ZMYND10	0.017029935	0.974493893	0.212269143	NA	0	0	0	0
ENSG00000004846	ABCB5	-0.514776593	0.10045981	-0.078307559	NA	NA	NA	NA	NA
ENSG00000004848	ARX	-0.101244628	NA	-0.054002741	NA	0	0	0	0
ENSG00000004864	SLC25A13	-0.145323016	0.096647131	-0.116545902	0.337804422	0	0	0	0
ENSG00000004866	ST7	0.157201547	0.243283052	0.098274147	0.692562266	0	0	0	0
ENSG00000004897	CDC27	-0.21292963	0.049857712	0.024030171	0.936862858	0	1	0	1
ENSG00000004939	SLC4A1	-0.033244614	0.93551147	-0.073919987	NA	0	0	0	0
ENSG00000004948	CALCR	0.069243516	NA	NA	NA	0	0	0	0
ENSG00000004961	HCCS	-0.127322806	0.193672394	-0.055347343	0.768509281	0	0	0	0
ENSG00000004975	DVL2	-0.491481302	1.07E-09	-0.057869959	0.800977091	0	0	0	0
ENSG00000005007	UPF1	-1.713328317	1.14E-148	-0.12094622	0.071804201	0	0	0	0
ENSG00000005020	SKAP2	-0.219593038	0.040468178	0.043352095	0.890575783	0	0	0	0
ENSG00000005022	SLC25A5	-0.248343832	8.15E-08	-0.035042523	0.777487341	1	0	0	1
ENSG00000005059	MCUB	-0.080130351	0.660436716	-0.076068919	0.801505578	0	0	0	0
ENSG00000005073	HOXA11	-0.002920296	0.988257072	-0.033771447	0.917973613	0	0	0	0
ENSG00000005075	POLR2J	-0.123633091	0.175389466	0.005880581	0.988033089	0	0	0	0
ENSG00000005100	DHX33	-0.064798728	0.508590606	-0.081260287	0.620479168	0	0	1	1
ENSG00000005102	MEOX1	-0.215203928	NA	0.008995236	NA	0	0	0	0
ENSG00000005108	THSD7A	-0.389253645	0.252952616	-0.089907892	NA	0	0	0	0
ENSG00000005156	LIG3	-0.0908411	0.563356952	0.076772146	0.79698725	0	0	0	0
ENSG00000005175	RPAP3	-0.242808603	0.023838817	-0.074669425	0.747023338	0	0	0	0
ENSG00000005187	ACSM3	0.246881772	0.476558492	0.205563096	NA	0	0	0	0
