ensembl_gene_id	signalp	tmhmm	gene_biotype	chromosome_name
ENSG00000198888	SignalP-TM	TMhelix	protein_coding	MT
ENSG00000198763		TMhelix	protein_coding	MT
ENSG00000198804		TMhelix	protein_coding	MT
ENSG00000198712		TMhelix	protein_coding	MT
ENSG00000228253		TMhelix	protein_coding	MT
ENSG00000198899		TMhelix	protein_coding	MT
ENSG00000198938		TMhelix	protein_coding	MT
ENSG00000198840		TMhelix	protein_coding	MT
ENSG00000212907		TMhelix	protein_coding	MT
ENSG00000198886		TMhelix	protein_coding	MT
ENSG00000198786	SignalP-TM	TMhelix	protein_coding	MT
ENSG00000198695	SignalP-TM	TMhelix	protein_coding	MT
ENSG00000198727		TMhelix	protein_coding	MT
ENSG00000205858			protein_coding	7
ENSG00000145220			protein_coding	4
ENSG00000151789			protein_coding	3
ENSG00000154813			protein_coding	3
ENSG00000171243	SignalP-noTM		protein_coding	7
ENSG00000164822	SignalP-noTM		protein_coding	8
ENSG00000164821	SignalP-noTM		protein_coding	8
ENSG00000101220			protein_coding	20
ENSG00000178591	SignalP-noTM		protein_coding	20
ENSG00000110169	SignalP-noTM		protein_coding	11
ENSG00000177706		TMhelix	protein_coding	7
ENSG00000092330			protein_coding	14
ENSG00000261456			protein_coding	10
ENSG00000125788	SignalP-noTM	TMhelix	protein_coding	20
ENSG00000088782	SignalP-noTM		protein_coding	20
ENSG00000185982	SignalP-noTM		protein_coding	20
ENSG00000276194			protein_coding	CHR_HSCHR17_7_CTG4
ENSG00000125903	SignalP-noTM		protein_coding	20
ENSG00000100109			protein_coding	22
ENSG00000186458	SignalP-noTM		protein_coding	20
ENSG00000127418	SignalP-noTM	TMhelix	protein_coding	4
ENSG00000110811	SignalP-noTM		protein_coding	12
ENSG00000127418	SignalP-noTM		protein_coding	4
ENSG00000100104			protein_coding	22
ENSG00000157796			protein_coding	4
ENSG00000157796		TMhelix	protein_coding	4
ENSG00000250510		TMhelix	protein_coding	12
ENSG00000250510	SignalP-noTM		protein_coding	12
