ensembl_gene_id	external_gene_name	chromosome_name
ENSG00000273833	TFPT	CHR_HSCHR19LRC_LRC_T_CTG3_1
ENSG00000281877	RPS6KA1	CHR_HG2058_PATCH
ENSG00000277079	RPS9	CHR_HSCHR19LRC_PGF2_CTG3_1
ENSG00000277401	TJP1	CHR_HSCHR15_4_CTG8
ENSG00000281917	SLC16A1	CHR_HG2104_PATCH
ENSG00000281766	RYBP	CHR_HG126_PATCH
ENSG00000274359	NDUFA3	CHR_HSCHR19LRC_COX1_CTG3_1
ENSG00000278081	RPS9	CHR_HSCHR19LRC_LRC_S_CTG3_1
ENSG00000278161	TFPT	CHR_HSCHR19LRC_PGF1_CTG3_1
ENSG00000276022	TFPT	CHR_HSCHR19LRC_PGF2_CTG3_1
ENSG00000277722	NDUFA3	CHR_HSCHR19LRC_PGF2_CTG3_1
ENSG00000275086	TFPT	CHR_HSCHR19LRC_LRC_J_CTG3_1
ENSG00000276296	TFPT	CHR_HSCHR19LRC_LRC_S_CTG3_1
ENSG00000278365	NDUFA3	CHR_HSCHR19LRC_LRC_S_CTG3_1
ENSG00000274005	RPS9	CHR_HSCHR19LRC_LRC_T_CTG3_1
ENSG00000276263	TFPT	CHR_HSCHR19LRC_LRC_I_CTG3_1
ENSG00000276220	NDUFA3	CHR_HSCHR19LRC_COX2_CTG3_1
ENSG00000275605	NDUFA3	CHR_HSCHR19LRC_PGF1_CTG3_1
ENSG00000274626	RPS9	CHR_HSCHR19LRC_COX2_CTG3_1
ENSG00000276323	TFPT	CHR_HSCHR19LRC_COX2_CTG3_1
ENSG00000275724	NDUFA3	CHR_HSCHR19LRC_LRC_T_CTG3_1
ENSG00000276766	NDUFA3	CHR_HSCHR19LRC_LRC_I_CTG3_1
ENSG00000274073	TFPT	CHR_HSCHR19LRC_COX1_CTG3_1
ENSG00000275323	RPS9	CHR_HSCHR19LRC_LRC_J_CTG3_1
ENSG00000273642	NDUFA3	CHR_HSCHR19LRC_LRC_J_CTG3_1
ENSG00000277359	RPS9	CHR_HSCHR19LRC_LRC_I_CTG3_1
ENSG00000173757	STAT5B	17
ENSG00000227780	ZBTB22	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000174307	PHLDA3	1
ENSG00000223767	RNF5	CHR_HSCHR6_MHC_APD_CTG1
ENSG00000103126	AXIN1	16
ENSG00000172262	ZNF131	5
ENSG00000233841	HLA-C	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000206206	DAXX	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000134480	CCNH	5
ENSG00000276234	TADA2A	17
ENSG00000117335	CD46	1
ENSG00000146143	PRIM2	6
ENSG00000196547	MAN2A2	15
ENSG00000162244	RPL29	3
ENSG00000071553	ATP6AP1	X
ENSG00000223532	HLA-B	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000143179	UCK2	1
ENSG00000227565	NFKBIL1	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000080644	CHRNA3	15
ENSG00000169684	CHRNA5	15
ENSG00000096060	FKBP5	6
ENSG00000184787	UBE2G2	21
ENSG00000177169	ULK1	12
ENSG00000106400	ZNHIT1	7
ENSG00000236271	FLOT1	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000106397	PLOD3	7
ENSG00000198373	WWP2	16
ENSG00000228881	TRIM26	CHR_HSCHR6_MHC_APD_CTG1
ENSG00000164086	DUSP7	3
ENSG00000086504	MRPL28	16
ENSG00000204308	RNF5	6
ENSG00000183648	NDUFB1	14
ENSG00000168701	TMEM208	16
ENSG00000115414	FN1	2
ENSG00000161638	ITGA5	12
ENSG00000066117	SMARCD1	12
ENSG00000166821	PEX11A	15
ENSG00000237462	TRIM27	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000231002	TRIM26	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000164904	ALDH7A1	5
ENSG00000158793	NIT1	1
ENSG00000116747	RO60	1
ENSG00000143256	PFDN2	1
ENSG00000106404	CLDN15	7
ENSG00000274829	PARN	CHR_HSCHR16_1_CTG1
ENSG00000170345	FOS	14
ENSG00000206240	HLA-DRB1	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000096063	SRPK1	6
ENSG00000133935	ERG28	14
ENSG00000228116	PPT2	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000138376	BARD1	2
ENSG00000204435	CSNK2B	6
ENSG00000206237	HLA-DQB1	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000125733	TRIP10	19
ENSG00000005022	SLC25A5	X
ENSG00000112578	BYSL	6
ENSG00000137764	MAP2K5	15
ENSG00000230128	IER3	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000188021	UBQLN2	X
ENSG00000141905	NFIC	19
ENSG00000108733	PEX12	17
ENSG00000061938	TNK2	3
ENSG00000227715	HLA-A	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000006125	AP2B1	17
ENSG00000126351	THRA	17
ENSG00000204304	PBX2	6
ENSG00000168610	STAT3	17
ENSG00000270647	TAF15	17
ENSG00000115661	STK16	2
ENSG00000135723	FHOD1	16
ENSG00000127824	TUBA4A	2
ENSG00000138443	ABI2	2
ENSG00000102032	RENBP	X
ENSG00000177469	CAVIN1	17
ENSG00000234078	DDR1	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000112118	MCM3	6
ENSG00000113368	LMNB1	5
ENSG00000112576	CCND3	6
ENSG00000134986	NREP	5
ENSG00000158402	CDC25C	5
ENSG00000064961	HMG20B	19
ENSG00000077721	UBE2A	X
ENSG00000167522	ANKRD11	16
ENSG00000183397	C19orf71	19
ENSG00000172534	HCFC1	X
ENSG00000177854	TMEM187	X
ENSG00000081320	STK17B	2
ENSG00000162704	ARPC5	1
ENSG00000198901	PRC1	15
ENSG00000065308	TRAM2	6
ENSG00000138363	ATIC	2
ENSG00000134375	TIMM17A	1
ENSG00000033627	ATP6V0A1	17
ENSG00000182195	LDOC1	X
ENSG00000236884	HLA-DRB1	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000103035	PSMD7	16
ENSG00000167196	FBXO22	15
ENSG00000184216	IRAK1	X
ENSG00000140612	SEC11A	15
ENSG00000233149	GTF2H4	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000233209	HLA-DQB1	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000188895	MSL1	17
ENSG00000108784	NAGLU	17
ENSG00000203879	GDI1	X
ENSG00000266967	AARSD1	17
ENSG00000169057	MECP2	X
ENSG00000156508	EEF1A1	6
ENSG00000119899	SLC17A5	6
ENSG00000183155	RABIF	1
ENSG00000233418	DHX16	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000143156	NME7	1
ENSG00000117475	BLZF1	1
ENSG00000143153	ATP1B1	1
ENSG00000071859	FAM50A	X
ENSG00000198918	RPL39	X
ENSG00000131469	RPL27	17
ENSG00000090863	GLG1	16
ENSG00000196976	LAGE3	X
ENSG00000140443	IGF1R	15
ENSG00000102178	UBL4A	X
ENSG00000119041	GTF3C3	2
ENSG00000144395	CCDC150	2
ENSG00000226618	PRRC2A	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000108828	VAT1	17
ENSG00000108830	RND2	17
ENSG00000125691	RPL23	17
ENSG00000125352	RNF113A	X
ENSG00000125356	NDUFA1	X
ENSG00000103194	USP10	16
ENSG00000140374	ETFA	15
ENSG00000002834	LASP1	17
ENSG00000175221	MED16	19
ENSG00000112695	COX7A2	6
ENSG00000269335	IKBKG	X
ENSG00000160211	G6PD	X
ENSG00000103876	FAH	15
ENSG00000131435	PDLIM4	5
ENSG00000072682	P4HA2	5
ENSG00000197375	SLC22A5	5
ENSG00000068305	MEF2A	15
ENSG00000206315	PBX2	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000136485	DCAF7	17
ENSG00000159388	BTG2	1
ENSG00000227317	DDAH2	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000226248	CLIC1	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000228760	BAG6	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000064012	CASP8	2
ENSG00000058668	ATP2B4	1
ENSG00000116017	ARID3A	19
ENSG00000198231	DDX42	17
ENSG00000138375	SMARCAL1	2
ENSG00000076716	GPC4	X
ENSG00000198909	MAP3K3	17
ENSG00000206306	HLA-DRB1	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000206302	HLA-DQB1	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000206299	TAP2	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000206297	TAP1	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000175416	CLTB	5
ENSG00000215077	BRD2	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000241674	HLA-DMB	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000206292	HLA-DOA	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000215048	HLA-DPB1	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000048140	TSPAN17	5
ENSG00000167460	TPM4	19
ENSG00000206288	SLC39A7	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000113761	ZNF346	5
ENSG00000112474	HSD17B8	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000206287	RING1	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000167461	RAB8A	19
ENSG00000160867	FGFR4	5
ENSG00000105058	FAM32A	19
ENSG00000169230	PRELID1	5
ENSG00000206284	WDR46	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000206283	PFDN6	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000206282	RGL2	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000087191	PSMC5	17
ENSG00000169223	LMAN2	5
ENSG00000206281	TAPBP	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000206280	ZBTB22	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000169220	RGS14	5
ENSG00000206279	DAXX	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000204197	KIFC1	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000198055	GRK6	5
ENSG00000239756	PHF1	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000135525	MAP7	6
ENSG00000108604	SMARCD2	17
ENSG00000229006	TRIM27	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000112357	PEX7	6
ENSG00000113758	DBN1	5
ENSG00000083750	RRAGB	X
ENSG00000145715	RASA1	5
ENSG00000094880	CDC23	5
