external_gene_name	ensembl_gene_id	go_id	name_1006
SLC25A17	ENSG00000100372	GO:0022857	transmembrane transporter activity
SLC25A17	ENSG00000100372	GO:0055085	transmembrane transport
SLC25A17	ENSG00000100372	GO:0005737	cytoplasm
SLC25A17	ENSG00000100372	GO:0016020	membrane
SLC25A17	ENSG00000100372	GO:0016021	integral component of membrane
SLC25A17	ENSG00000100372	GO:0005515	protein binding
SLC25A17	ENSG00000100372	GO:0005777	peroxisome
SLC25A17	ENSG00000100372	GO:0005778	peroxisomal membrane
SLC25A17	ENSG00000100372	GO:0005779	integral component of peroxisomal membrane
SLC25A17	ENSG00000100372	GO:0051087	chaperone binding
SLC25A17	ENSG00000100372	GO:0001561	fatty acid alpha-oxidation
SLC25A17	ENSG00000100372	GO:0000295	adenine nucleotide transmembrane transporter activity
SLC25A17	ENSG00000100372	GO:0005347	ATP transmembrane transporter activity
SLC25A17	ENSG00000100372	GO:0015217	ADP transmembrane transporter activity
SLC25A17	ENSG00000100372	GO:0015228	coenzyme A transmembrane transporter activity
SLC25A17	ENSG00000100372	GO:0015230	FAD transmembrane transporter activity
SLC25A17	ENSG00000100372	GO:0044610	FMN transmembrane transporter activity
SLC25A17	ENSG00000100372	GO:0051724	NAD transmembrane transporter activity
SLC25A17	ENSG00000100372	GO:0080122	AMP transmembrane transporter activity
SLC25A17	ENSG00000100372	GO:0006635	fatty acid beta-oxidation
SLC25A17	ENSG00000100372	GO:0015866	ADP transport
SLC25A17	ENSG00000100372	GO:0015867	ATP transport
SLC25A17	ENSG00000100372	GO:0015908	fatty acid transport
SLC25A17	ENSG00000100372	GO:0035349	coenzyme A transmembrane transport
SLC25A17	ENSG00000100372	GO:0035350	FAD transmembrane transport
SLC25A17	ENSG00000100372	GO:0035352	NAD transmembrane transport
SLC25A17	ENSG00000100372	GO:0051182	coenzyme transport
SLC25A17	ENSG00000100372	GO:0080121	AMP transport
SLC25A17	ENSG00000100372	GO:1901679	nucleotide transmembrane transport
