ensembl_gene_id	ensembl_transcript_id	ensembl_exon_id	rank	transcript_biotype
ENSG00000004059	ENST00000000233	ENSE00000882271	6	protein_coding
ENSG00000003056	ENST00000000412	ENSE00002254457	7	protein_coding
ENSG00000004478	ENST00000001008	ENSE00000802792	10	protein_coding
ENSG00000003509	ENST00000002125	ENSE00003687373	10	protein_coding
ENSG00000001036	ENST00000002165	ENSE00001828368	7	protein_coding
ENSG00000001630	ENST00000003100	ENSE00001813804	10	protein_coding
ENSG00000048028	ENST00000003302	ENSE00002264213	25	protein_coding
ENSG00000001461	ENST00000003912	ENSE00001463422	13	protein_coding
ENSG00000004799	ENST00000005178	ENSE00001267271	11	protein_coding
ENSG00000006451	ENST00000005257	ENSE00001270055	5	protein_coding
ENSG00000075790	ENST00000005259	ENSE00001707386	8	protein_coding
ENSG00000006453	ENST00000005260	ENSE00001261415	14	protein_coding
ENSG00000004975	ENST00000005340	ENSE00001061609	15	protein_coding
ENSG00000005175	ENST00000005386	ENSE00002417823	17	protein_coding
ENSG00000005073	ENST00000006015	ENSE00002099557	2	protein_coding
ENSG00000005486	ENST00000006777	ENSE00001484646	4	protein_coding
ENSG00000007376	ENST00000007264	ENSE00001062022	6	protein_coding
ENSG00000007520	ENST00000007390	ENSE00001062114	6	protein_coding
ENSG00000004779	ENST00000007516	ENSE00002593859	5	protein_coding
ENSG00000010072	ENST00000008440	ENSE00001815770	3	protein_coding
ENSG00000008405	ENST00000008527	ENSE00002398374	13	protein_coding
ENSG00000010270	ENST00000009041	ENSE00001867151	9	protein_coding
ENSG00000010278	ENST00000009180	ENSE00003848695	8	protein_coding
ENSG00000008988	ENST00000009589	ENSE00002105554	4	protein_coding
ENSG00000010017	ENST00000011619	ENSE00001009216	14	protein_coding
ENSG00000008324	ENST00000011691	ENSE00001156879	3	protein_coding
ENSG00000010818	ENST00000012134	ENSE00000798981	9	protein_coding
ENSG00000011485	ENST00000012443	ENSE00003895183	13	protein_coding
ENSG00000012963	ENST00000013070	ENSE00002524026	11	protein_coding
ENSG00000241644	ENST00000013222	ENSE00001310197	3	protein_coding
ENSG00000012061	ENST00000013807	ENSE00002851400	8	protein_coding
ENSG00000013588	ENST00000014914	ENSE00002203244	4	protein_coding
ENSG00000013583	ENST00000014930	ENSE00001121981	4	protein_coding
ENSG00000013563	ENST00000014935	ENSE00001200781	9	protein_coding
ENSG00000014919	ENST00000016171	ENSE00001195070	9	protein_coding
ENSG00000015568	ENST00000016946	ENSE00001814572	23	protein_coding
ENSG00000015532	ENST00000017003	ENSE00003580740	11	protein_coding
ENSG00000017797	ENST00000019317	ENSE00001541191	10	protein_coding
ENSG00000078668	ENST00000022615	ENSE00001319876	10	protein_coding
ENSG00000023287	ENST00000025008	ENSE00001151070	24	protein_coding
ENSG00000023516	ENST00000025301	ENSE00000817243	13	protein_coding
ENSG00000023734	ENST00000025399	ENSE00002243688	11	protein_coding
ENSG00000027847	ENST00000029410	ENSE00001301765	6	protein_coding
ENSG00000031003	ENST00000033079	ENSE00001921816	23	protein_coding
ENSG00000033100	ENST00000035307	ENSE00001926893	4	protein_coding
ENSG00000034713	ENST00000037243	ENSE00003629383	4	protein_coding
ENSG00000035141	ENST00000037869	ENSE00001884677	3	protein_coding
ENSG00000035681	ENST00000038176	ENSE00001242078	31	protein_coding
ENSG00000052841	ENST00000039989	ENSE00003638010	24	protein_coding
ENSG00000037965	ENST00000040584	ENSE00000838338	2	protein_coding
ENSG00000037757	ENST00000040663	ENSE00001415106	6	protein_coding
ENSG00000038219	ENST00000040738	ENSE00001193549	26	protein_coding
ENSG00000059588	ENST00000040877	ENSE00001178477	30	protein_coding
ENSG00000041357	ENST00000044462	ENSE00001814481	9	protein_coding
ENSG00000040531	ENST00000046640	ENSE00000535517	12	protein_coding
ENSG00000047932	ENST00000052569	ENSE00001017893	8	protein_coding
ENSG00000048544	ENST00000053468	ENSE00001138955	7	protein_coding
ENSG00000041988	ENST00000054650	ENSE00002956509	6	protein_coding
ENSG00000049245	ENST00000054666	ENSE00001474288	5	protein_coding
ENSG00000049449	ENST00000054950	ENSE00001211610	6	protein_coding
