ensembl_gene_id	ensembl_transcript_id	ensembl_exon_id	rank	transcript_length
ENSG00000004059	ENST00000000233	ENSE00000882271	6	1032
ENSG00000003056	ENST00000000412	ENSE00002254457	7	2450
ENSG00000173153	ENST00000000442	ENSE00001564429	7	2274
ENSG00000004478	ENST00000001008	ENSE00000802792	10	3715
ENSG00000003509	ENST00000002125	ENSE00003687373	10	2184
ENSG00000001036	ENST00000002165	ENSE00001828368	7	2385
ENSG00000002587	ENST00000002596	ENSE00002024145	2	7160
ENSG00000001617	ENST00000002829	ENSE00001911603	19	3607
ENSG00000001626	ENST00000003084	ENSE00000977444	27	6070
ENSG00000001630	ENST00000003100	ENSE00001813804	10	3155
ENSG00000002933	ENST00000004103	ENSE00003832811	7	1033
ENSG00000004776	ENST00000004982	ENSE00002780484	3	1460
ENSG00000004799	ENST00000005178	ENSE00001267271	11	3601
ENSG00000006611	ENST00000005226	ENSE00002179425	27	3241
ENSG00000006451	ENST00000005257	ENSE00001270055	5	2787
ENSG00000006453	ENST00000005260	ENSE00001261415	14	3645
ENSG00000006116	ENST00000005284	ENSE00001175673	4	1917
ENSG00000004975	ENST00000005340	ENSE00001061609	15	2989
ENSG00000005175	ENST00000005386	ENSE00002417823	17	4339
ENSG00000007001	ENST00000005756	ENSE00001307265	7	2406
ENSG00000007038	ENST00000005995	ENSE00000873872	6	1091
ENSG00000005073	ENST00000006015	ENSE00002099557	2	2669
ENSG00000006210	ENST00000006053	ENSE00001317056	3	3285
ENSG00000006282	ENST00000006658	ENSE00003595700	17	2634
ENSG00000007312	ENST00000006750	ENSE00000000010	6	1246
ENSG00000005486	ENST00000006777	ENSE00001484646	4	1721
ENSG00000007376	ENST00000007264	ENSE00001062022	6	2048
ENSG00000007520	ENST00000007390	ENSE00001062114	6	1210
ENSG00000006025	ENST00000007414	ENSE00002702628	23	3664
ENSG00000004779	ENST00000007516	ENSE00002593859	5	665
ENSG00000006047	ENST00000007699	ENSE00002633728	9	1654
ENSG00000006059	ENST00000007735	ENSE00002495543	7	1303
ENSG00000008197	ENST00000008391	ENSE00000619431	8	2058
ENSG00000008405	ENST00000008527	ENSE00002398374	13	2987
ENSG00000008438	ENST00000008938	ENSE00000858278	3	708
ENSG00000010278	ENST00000009180	ENSE00003848695	8	1225
ENSG00000091704	ENST00000011292	ENSE00000882293	10	1384
ENSG00000010017	ENST00000011619	ENSE00001009216	14	3384
ENSG00000010610	ENST00000011653	ENSE00001182623	10	3049
ENSG00000011105	ENST00000011898	ENSE00002214365	9	4322
ENSG00000011478	ENST00000012049	ENSE00003851017	7	2125
ENSG00000011485	ENST00000012443	ENSE00003895183	13	2139
ENSG00000012963	ENST00000013070	ENSE00002524026	11	3494
ENSG00000241644	ENST00000013222	ENSE00001310197	3	2559
ENSG00000013588	ENST00000014914	ENSE00002203244	4	6582
ENSG00000013583	ENST00000014930	ENSE00001121981	4	1159
ENSG00000014919	ENST00000016171	ENSE00001195070	9	5030
ENSG00000071203	ENST00000016913	ENSE00001107922	7	1167
ENSG00000015568	ENST00000016946	ENSE00001814572	23	7268
ENSG00000015532	ENST00000017003	ENSE00003580740	11	3507
ENSG00000080293	ENST00000019103	ENSE00001835003	13	1854
ENSG00000059915	ENST00000020673	ENSE00000811521	17	3824
ENSG00000019505	ENST00000020926	ENSE00001329248	6	5165
ENSG00000019549	ENST00000020945	ENSE00001526387	3	2180
ENSG00000078668	ENST00000022615	ENSE00001319876	10	1418
ENSG00000021488	ENST00000023064	ENSE00003548545	13	1766
ENSG00000023287	ENST00000025008	ENSE00001151070	24	6636
ENSG00000023516	ENST00000025301	ENSE00000817243	13	9915
ENSG00000079112	ENST00000027335	ENSE00000980942	18	3670
ENSG00000027847	ENST00000029410	ENSE00001301765	6	1698
ENSG00000034713	ENST00000037243	ENSE00003629383	4	974
ENSG00000034971	ENST00000037502	ENSE00001852498	3	2100
ENSG00000035681	ENST00000038176	ENSE00001242078	31	3574
ENSG00000036473	ENST00000039007	ENSE00001090979	10	1522
ENSG00000052841	ENST00000039989	ENSE00003638010	24	4488
ENSG00000037965	ENST00000040584	ENSE00000838338	2	2417
ENSG00000037757	ENST00000040663	ENSE00001415106	6	3178
ENSG00000038219	ENST00000040738	ENSE00001193549	26	10567
ENSG00000059588	ENST00000040877	ENSE00001178477	30	5206
ENSG00000039523	ENST00000042381	ENSE00003505157	22	4092
ENSG00000040608	ENST00000043402	ENSE00001557601	2	1944
ENSG00000041357	ENST00000044462	ENSE00001814481	9	4378
ENSG00000042813	ENST00000046087	ENSE00001201739	8	1195
ENSG00000040531	ENST00000046640	ENSE00000535517	12	4139
ENSG00000043462	ENST00000046794	ENSE00002100375	21	4232
ENSG00000011465	ENST00000052754	ENSE00002386376	8	6850
ENSG00000048462	ENST00000053243	ENSE00001722330	3	891
ENSG00000048544	ENST00000053468	ENSE00001138955	7	2100
ENSG00000049245	ENST00000054666	ENSE00001474288	5	2178
ENSG00000049449	ENST00000054950	ENSE00001211610	6	2369
ENSG00000049541	ENST00000055077	ENSE00001873689	11	1685
ENSG00000049769	ENST00000055335	ENSE00001469646	4	3477
ENSG00000050030	ENST00000055682	ENSE00001460638	4	11717
ENSG00000050327	ENST00000056217	ENSE00001894090	15	5482
ENSG00000050344	ENST00000056233	ENSE00001420641	4	3740
ENSG00000050730	ENST00000057513	ENSE00001599724	11	2397
ENSG00000052723	ENST00000060969	ENSE00001862143	5	5494
ENSG00000038295	ENST00000061240	ENSE00001248950	21	7291
ENSG00000054803	ENST00000064571	ENSE00001271654	3	3154
ENSG00000013297	ENST00000064724	ENSE00001214204	3	2758
ENSG00000054967	ENST00000064780	ENSE00002229375	11	3402
ENSG00000004897	ENST00000066544	ENSE00001799129	19	5830
ENSG00000058799	ENST00000072644	ENSE00001455144	11	1821
ENSG00000133597	ENST00000072869	ENSE00000360284	8	2574
ENSG00000059804	ENST00000075120	ENSE00001922435	10	3827
ENSG00000060140	ENST00000075503	ENSE00001145475	11	2771
ENSG00000088256	ENST00000078429	ENSE00002906595	7	4190
ENSG00000060566	ENST00000078445	ENSE00003138033	10	2588
ENSG00000061273	ENST00000080059	ENSE00001853912	26	4213
ENSG00000061794	ENST00000081029	ENSE00002273609	8	1829
ENSG00000062725	ENST00000083182	ENSE00001205688	13	6492
ENSG00000063180	ENST00000084798	ENSE00003138688	9	1715
ENSG00000012124	ENST00000085219	ENSE00003845039	14	3274
